time/fps,train/std,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/success_rate,time/total_timesteps,train/critic_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
446,0.049787066876888275,50.0,-25.971619916666665,1,10,0.0,600,,,,,,,,,
448,0.049787066876888275,50.0,-24.1103683,2,20,0.0,1000,,,,,,,,,
449,0.049787066876888275,50.0,-24.16461303125,3,30,0.0,1600,,,,,,,,,
451,0.049787066876888275,50.0,-23.731482774999996,4,40,0.0,2000,,,,,,,,,
450,0.049787066876888275,50.0,-23.053760153846156,5,50,0.0,2600,,,,,,,,,
450,0.049787066876888275,50.0,-23.076063283333337,6,60,0.0,3000,,,,,,,,,
451,0.049787066876888275,50.0,-22.736378777777777,7,70,0.0,3600,,,,,,,,,
452,0.049787066876888275,50.0,-22.327558825,8,80,0.0,4000,,,,,,,,,
447,0.049787066876888275,50.0,-22.21856077173913,10,90,0.0,4600,,,,,,,,,
444,0.049787066876888275,50.0,-22.193736980000004,11,100,0.0,5000,,,,,,,,,
441,0.049787066876888275,50.0,-21.32859685,12,110,0.0,5600,,,,,,,,,
439,0.049787066876888275,50.0,-21.489156650000005,13,120,0.0,6000,,,,,,,,,
440,0.049787066876888275,50.0,-20.906921880000006,14,130,0.0,6600,,,,,,,,,
440,0.049787066876888275,50.0,-21.003043079999998,15,140,0.0,7000,,,,,,,,,
439,0.049787066876888275,50.0,-20.75881849,17,150,0.0,7600,,,,,,,,,
438,0.049787066876888275,50.0,-20.45938508,18,160,0.0,8000,,,,,,,,,
439,0.049787066876888275,50.0,-20.39999031,19,170,0.0,8600,,,,,,,,,
440,0.049787066876888275,50.0,-20.7016313,20,180,0.0,9000,,,,,,,,,
442,0.049787066876888275,50.0,-20.853908179999998,21,190,0.0,9600,,,,,,,,,
442,0.049787066876888275,50.0,-20.475497949999998,22,200,0.0,10000,,,,,,,,,
425,0.049838870763778687,50.0,-20.672100109999995,24,210,0.0,10600,4.148105800151825,1.0073376297950745,148,0.008352606324478984,0.0001,4.862930417060852,,,
416,0.04986660182476044,50.0,-20.090894880000004,26,220,0.0,11000,1.2142496705055237,1.0008052587509155,248,0.0015257452614605427,0.0001,3.804135322570801,,,
406,0.049904875457286835,50.0,-20.57088921,28,230,0.0,11600,1.722930546849966,0.9819394648075104,396,-0.08311048336327076,0.0001,0.22196532413363457,,,
399,0.04992469772696495,50.0,-20.65599722,30,240,0.0,12000,0.9903648048639297,0.9677691906690598,496,-0.14622977748513222,0.0001,-0.6882811896502972,,,
389,0.04995023459196091,50.0,-21.019931019999998,32,250,0.0,12600,0.7206091247498989,0.9481246471405029,648,-0.24258367344737053,0.0001,-2.3145065903663635,,,
383,0.049963951110839844,50.0,-21.18044973,33,260,0.0,13000,1.1991023123264313,0.9360293745994568,748,-0.30699269473552704,0.0001,-3.6329551935195923,,,
375,0.04997771978378296,50.0,-21.264715430000003,36,270,0.0,13600,0.49552443623542786,0.9191170632839203,896,-0.4034489542245865,0.0001,-5.265887498855591,,,
369,0.049981869757175446,50.0,-21.17134795000001,37,280,0.0,14000,0.23460767790675163,0.908239871263504,996,-0.467683807015419,0.0001,-6.513958215713501,,,
362,0.049987636506557465,50.0,-21.413905130000003,40,290,0.0,14600,0.4403453394770622,0.8925289958715439,1148,-0.5563119053840637,0.0001,-8.011180877685547,,,
359,0.049988456070423126,50.0,-21.88605871,41,300,0.0,15000,0.4319199249148369,0.8826555013656616,1248,-0.5944225192070007,0.0001,-9.243874549865723,,,
354,0.0499907061457634,50.0,-22.010190790000003,44,310,0.0,15600,0.615674588829279,0.868478462100029,1396,-0.6630160808563232,0.0001,-10.899643898010254,,,
351,0.049994125962257385,50.0,-22.42104514,45,320,0.0,16000,1.6329445391893387,0.8591580241918564,1496,-0.7422920614480972,0.0001,-12.365612506866455,,,
347,0.049992963671684265,50.0,-23.762238590000006,47,330,0.0,16600,0.6606577038764954,0.8453735560178757,1648,-0.8339676409959793,0.0001,-13.461931705474854,,,
344,0.04999672621488571,50.0,-24.16151786,49,340,0.0,17000,0.6563800573348999,0.8363875895738602,1748,-0.8927569687366486,0.0001,-14.897585391998291,,,
341,0.04999590665102005,50.0,-24.15382727,51,350,0.0,17600,0.5816560052335262,0.8235655426979065,1896,-0.9174602925777435,0.0001,-16.01360273361206,,,
339,0.04999569058418274,50.0,-24.175827079999994,53,360,0.0,18000,1.233087532222271,0.8149605989456177,1996,-1.0341946482658386,0.0001,-16.918930053710938,,,
335,0.04999910295009613,50.0,-23.98792547,55,370,0.0,18600,2.0554066002368927,0.8021503835916519,2148,-1.0823529660701752,0.0001,-18.64846420288086,,,
334,0.05000836402177811,50.0,-24.1110196,56,380,0.0,19000,0.5886959731578827,0.7939049899578094,2248,-1.085882544517517,0.0001,-19.239761352539062,,,
331,0.05000656843185425,50.0,-24.414970270000005,59,390,0.0,19600,0.6800242811441422,0.7819183468818665,2396,-1.184371680021286,0.0001,-20.498144149780273,,,
329,0.05001003295183182,50.0,-24.389124279999997,60,400,0.0,20000,0.9612452983856201,0.7739406526088715,2496,-1.172876626253128,0.0001,-20.589163303375244,,,
326,0.05001678317785263,50.0,-24.35579695,63,410,0.0,20600,0.8132406175136566,0.7619975358247757,2648,-1.3727615475654602,0.0001,-22.274670600891113,,,
325,0.05001930519938469,50.0,-24.63380625,64,420,0.0,21000,1.0583482831716537,0.7542318850755692,2748,-1.4287709593772888,0.0001,-23.0487699508667,,,
323,0.05001441761851311,50.0,-23.61712751,66,430,0.0,21600,0.6727024838328362,0.7429709136486053,2896,-1.4877064228057861,0.0001,-23.778043746948242,,,
322,0.050019100308418274,50.0,-23.16400151,68,440,0.0,22000,0.6468505784869194,0.7354155331850052,2996,-1.4604868292808533,0.0001,-24.61999750137329,,,
320,0.050020575523376465,50.0,-23.092369610000002,70,450,0.0,22600,1.0382991880178452,0.7240819931030273,3148,-1.5952583849430084,0.0001,-25.52685260772705,,,
319,0.050020068883895874,50.0,-23.023581560000004,72,460,0.0,23000,0.7616110295057297,0.7166999131441116,3248,-1.702516883611679,0.0001,-25.95960760116577,,,
317,0.05001933500170708,50.0,-23.052887189999996,74,470,0.0,23600,0.44689029455184937,0.706050917506218,3396,-1.7512218952178955,0.0001,-26.27215051651001,,,
316,0.0500197634100914,50.0,-22.84100255,75,480,0.0,24000,0.5573306605219841,0.6989450454711914,3496,-1.678947776556015,0.0001,-27.328977584838867,,,
315,0.05002082884311676,50.0,-22.082151659999994,78,490,0.0,24600,0.6314609944820404,0.6883388459682465,3648,-1.7646817564964294,0.0001,-27.958091259002686,,,
314,0.05002184212207794,50.0,-21.941262659999992,79,500,0.0,25000,0.5710396468639374,0.6814224421977997,3748,-1.9309609532356262,0.0001,-28.479275226593018,,,
312,0.050025999546051025,50.0,-22.158533299999995,81,510,0.0,25600,0.6849652752280235,0.6712943762540817,3896,-1.970854252576828,0.0001,-28.891900539398193,,,
312,0.050032228231430054,50.0,-21.449829140000006,83,520,0.0,26000,0.7430524826049805,0.6645608246326447,3996,-1.7075101137161255,0.0001,-28.890865325927734,,,
310,0.05003403127193451,50.0,-20.925720620000003,85,530,0.0,26600,1.8648192882537842,0.6545144617557526,4148,-2.0925042629241943,0.0001,-30.13956928253174,,,
310,0.05003505200147629,50.0,-20.45974659,87,540,0.0,27000,0.5040231384336948,0.6479705423116684,4248,-2.1307481229305267,0.0001,-30.537118434906006,,,
309,0.05003781616687775,50.0,-20.369616100000002,89,550,0.0,27600,0.6379455775022507,0.6383452117443085,4396,-2.2353731989860535,0.0001,-31.078049182891846,,,
308,0.050042204558849335,50.0,-20.367208159999997,90,560,0.0,28000,1.3314860165119171,0.6319862306118011,4496,-2.343469500541687,0.0001,-31.377708911895752,,,
307,0.05004118010401726,50.0,-20.511409060000002,92,570,0.0,28600,0.6130188703536987,0.6224205940961838,4648,-2.349233329296112,0.0001,-31.997465133666992,,,
307,0.05003780126571655,50.0,-20.891775170000003,94,580,0.0,29000,0.5418037548661232,0.6161835938692093,4748,-2.45638108253479,0.0001,-32.42660617828369,,,
306,0.05004533752799034,50.0,-21.200066799999995,96,590,0.0,29600,0.5479238852858543,0.6071140468120575,4896,-2.529903531074524,0.0001,-32.39319896697998,,,
305,0.05004441738128662,50.0,-21.39690502,98,600,0.0,30000,0.819558173418045,0.6010853499174118,4996,-2.4874654412269592,0.0001,-32.74183464050293,,,
304,0.05004711076617241,50.0,-21.2967991,100,610,0.0,30600,1.221723273396492,0.5919878035783768,5148,-2.5450936555862427,0.0001,-32.86410617828369,,,
304,0.05005233734846115,50.0,-21.768526299999998,101,620,0.0,31000,1.2846174910664558,0.5861217826604843,5248,-2.693596839904785,0.0001,-33.41367053985596,,,
303,0.050055813044309616,50.0,-21.460409629999994,104,630,0.0,31600,0.7805359214544296,0.577472135424614,5396,-2.7556653022766113,0.0001,-34.17787551879883,,,
302,0.05005977675318718,50.0,-21.296070250000003,105,640,0.0,32000,1.311034932732582,0.5716708153486252,5496,-2.559284210205078,0.0001,-34.076948165893555,,,
302,0.05005961284041405,50.0,-21.671723489999998,107,650,0.0,32600,0.2536204755306244,0.563052624464035,5648,-2.6032803654670715,0.0001,-34.084044456481934,,,
301,0.050060149282217026,50.0,-21.50191101,109,660,0.0,33000,0.883421279489994,0.5574788153171539,5748,-3.223591387271881,0.0001,-34.924885749816895,,,
300,0.05005766078829765,50.0,-21.689591290000003,111,670,0.0,33600,0.864611055701971,0.5493013709783554,5896,-2.918539822101593,0.0001,-34.55778408050537,,,
300,0.05006062984466553,50.0,-21.315659630000006,113,680,0.0,34000,0.589100293815136,0.5438428074121475,5996,-3.0789623856544495,0.0001,-34.766371726989746,,,
299,0.05006226897239685,50.0,-21.217491780000003,115,690,0.0,34600,0.2960803136229515,0.5356765687465668,6148,-3.0754100680351257,0.0001,-34.74046325683594,,,
299,0.05006334185600281,50.0,-20.846036140000002,117,700,0.0,35000,0.463193878531456,0.5303548723459244,6248,-3.1574315428733826,0.0001,-34.965375900268555,,,
298,0.0500694215297699,50.0,-21.239627580000004,119,710,0.0,35600,0.5930338874459267,0.5225958228111267,6396,-3.0405160188674927,0.0001,-34.79669761657715,,,
298,0.05006664991378784,50.0,-21.646688139999995,120,720,0.0,36000,0.4435872808098793,0.5174205005168915,6496,-3.196100652217865,0.0001,-34.77950096130371,,,
297,0.050071071833372116,50.0,-21.94950462,122,730,0.0,36600,0.7558002918958664,0.5096417665481567,6648,-3.209299385547638,0.0001,-35.23611831665039,,,
297,0.05006932467222214,50.0,-22.179255149999996,124,740,0.0,37000,0.3437216952443123,0.504580557346344,6748,-3.5119518637657166,0.0001,-35.299269676208496,,,
296,0.05007578060030937,50.0,-22.292252389999998,126,750,0.0,37600,0.5851177722215652,0.49720604717731476,6896,-3.380863130092621,0.0001,-35.160096168518066,,,
