train/std,time/fps,time/episodes,rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates
0.049787070602178574,180,10,0.0,2,50.0,500,-19.8059725,,,,,,
0.049787070602178574,180,20,0.0,5,50.0,1000,-19.7100359,,,,,,
0.049787070602178574,181,30,0.0,8,50.0,1500,-20.915515933333335,,,,,,
0.049787070602178574,182,40,0.0,10,50.0,2000,-21.0569484,,,,,,
0.049787070602178574,182,50,0.0,13,50.0,2500,-21.48245402,,,,,,
0.049787070602178574,181,60,0.0,16,50.0,3000,-23.062459283333336,,,,,,
0.049787070602178574,180,70,0.0,19,50.0,3500,-23.383954614285713,,,,,,
0.049787070602178574,180,80,0.0,22,50.0,4000,-23.13336645,,,,,,
0.049787070602178574,179,90,0.0,25,50.0,4500,-22.84225235555555,,,,,,
0.049787070602178574,180,100,0.009999999776482582,27,49.74,4974,-22.724935080000005,,,,,,
0.049787070602178574,180,110,0.009999999776482582,30,49.74,5474,-22.950442340000006,,,,,,
0.049787070602178574,180,120,0.009999999776482582,33,49.74,5974,-22.90668766,,,,,,
0.049787070602178574,180,130,0.009999999776482582,35,49.74,6474,-22.981789430000003,,,,,,
0.049787070602178574,180,140,0.009999999776482582,38,49.74,6974,-22.967189830000002,,,,,,
0.049787070602178574,181,150,0.009999999776482582,41,49.74,7474,-22.942723810000007,,,,,,
0.049787070602178574,180,160,0.009999999776482582,44,49.74,7974,-22.004603109999998,,,,,,
0.049787070602178574,181,170,0.009999999776482582,46,49.74,8474,-21.442930110000002,,,,,,
0.049787070602178574,181,180,0.009999999776482582,49,49.74,8974,-21.300045710000003,,,,,,
0.049787070602178574,181,190,0.009999999776482582,52,49.74,9474,-21.25539264,,,,,,
0.049787070602178574,181,200,0.0,55,50.0,9974,-21.223209150000002,,,,,,
0.049935296177864075,162,210,0.0,64,50.0,10474,-20.76415826,-0.12210929021239281,-0.16715039685368538,0.20192474126815796,0.0001,0.9688334167003632,472
0.04999179765582085,145,220,0.0,75,50.0,10974,-20.925888290000003,-0.49842001497745514,-6.966020822525024,3.304154172539711,0.0001,0.9096497148275375,972
0.05000889673829079,130,230,0.0,88,50.0,11474,-20.562946160000003,-0.7898107171058655,-12.363223314285278,0.8821874409914017,0.0001,0.8610240817070007,1472
0.05001896619796753,119,240,0.0,99,50.0,11974,-20.544853279999998,-0.9218120127916336,-17.00203561782837,0.8572068065404892,0.0001,0.8172276467084885,1972
0.05002365633845329,112,250,0.0,111,50.0,12474,-20.42747348,-1.1946237981319427,-21.110103607177734,1.6082228645682335,0.0001,0.7763073593378067,2472
0.05002434924244881,106,260,0.0,121,50.0,12974,-20.3361239,-1.6190912127494812,-25.14801788330078,0.6148684248328209,0.0001,0.7377922832965851,2972
0.05003263056278229,102,270,0.0,131,50.0,13474,-20.45367156,-1.720260888338089,-27.42128896713257,1.4369540512561798,0.0001,0.7013929486274719,3472
0.050036489963531494,98,280,0.0,142,50.0,13974,-20.30928323,-1.9361153841018677,-29.644656658172607,1.6180797666311264,0.0001,0.6669864356517792,3972
0.05004202201962471,94,290,0.0,152,50.0,14474,-20.33695236,-2.212396204471588,-31.754535675048828,0.42268917709589005,0.0001,0.6343250423669815,4472
0.0500590056180954,92,300,0.0,162,50.0,14974,-20.63363347,-2.565316319465637,-33.483863830566406,0.7605286091566086,0.0001,0.6033660173416138,4972
0.05005761981010437,89,310,0.0,172,50.0,15474,-20.933063230000002,-2.8357298970222473,-34.20063304901123,1.1308061927556992,0.0001,0.5739363133907318,5472
0.050063859671354294,87,320,0.0,183,50.0,15974,-21.10530643,-3.1471415162086487,-35.20337677001953,0.3525834083557129,0.0001,0.5459473878145218,5972
0.0500759519636631,84,330,0.0,194,50.0,16474,-20.88135839,-3.1605045199394226,-35.485899925231934,0.25553691759705544,0.0001,0.5192971229553223,6472
