time/fps,time/episodes,time/time_elapsed,train/std,rollout/ep_len_mean,rollout/success_rate,rollout/ep_rew_mean,time/total_timesteps
187,10,2,0.049787066876888275,50.0,0.0,-24.375019799999997,500
180,20,5,0.049787066876888275,50.0,0.0,-23.210364849999998,1000
181,30,8,0.049787066876888275,50.0,0.0,-21.973782566666667,1500
179,40,11,0.049787066876888275,50.0,0.0,-22.2144388,2000
