rollout/success_rate,train/std,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/ent_coef,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0,0.05005081743001938,19464,108,179,50.0,-21.051913419999995,390,9460,0.38512494415044785,0.1305300947278738,0.0001,-4.782502055168152,-34.23451232910156,,,
0.0,0.05005066096782684,19964,107,186,50.0,-20.777051290000003,400,9960,0.36630965024232864,0.2091809306293726,0.0001,-4.93121874332428,-33.492197036743164,,,
,,20000,,,,,,9996,0.364983007311821,0.1559290774166584,0.0001,-4.90665340423584,-33.27799606323242,-19.428057149999997,50.0,0.0
0.0,0.05005422234535217,20464,103,198,50.0,-20.61336979,410,10460,0.34846779704093933,0.12332136183977127,0.0001,-5.557607173919678,-32.80346202850342,,,
0.0,0.050050653517246246,20964,102,204,50.0,-20.469596930000005,420,10960,0.3315623626112938,0.1505457293242216,0.0001,-5.508963704109192,-31.718164920806885,,,
0.0,0.05006512254476547,21464,101,210,50.0,-19.80006324,430,11460,0.31542252004146576,0.1463601179420948,0.0001,-5.304747104644775,-30.681031703948975,,,
0.0,0.05006794258952141,21964,101,217,50.0,-20.07334885,440,11960,0.3000379428267479,0.3026728481054306,0.0001,-5.879468560218811,-29.722949981689453,,,
0.0,0.050071388483047485,22464,100,223,50.0,-20.06548618,450,12460,0.28544124215841293,0.08041749149560928,0.0001,-6.095268607139587,-28.817457675933838,,,
0.0,0.05007077381014824,22964,100,229,50.0,-20.0423449,460,12960,0.27150654047727585,0.09106354787945747,0.0001,-6.43837034702301,-27.918761730194092,,,
0.0,0.05007917433977127,23464,99,235,50.0,-20.449654340000002,470,13460,0.2583112493157387,0.08239129558205605,0.0001,-6.549500465393066,-26.855923175811768,,,
0.0,0.05007627606391907,23964,99,241,50.0,-20.570380030000003,480,13960,0.24574963375926018,0.10086576081812382,0.0001,-6.977239966392517,-25.916237831115723,,,
0.0,0.05008042976260185,24464,98,248,50.0,-21.132727300000003,490,14460,0.23378797248005867,0.08328465931117535,0.0001,-7.530044794082642,-24.95809316635132,,,
0.0,0.0500837080180645,24964,98,253,50.0,-21.658842490000005,500,14960,0.22243697568774223,0.057764796540141106,0.0001,-7.274725914001465,-23.932682037353516,,,
0.0,0.050088148564100266,25464,97,259,50.0,-21.66008938,510,15460,0.21157428994774818,0.059311987832188606,0.0001,-7.625237941741943,-22.8955659866333,,,
0.0,0.05008817836642265,25964,97,266,50.0,-22.011595470000007,520,15960,0.20127903670072556,0.07070777751505375,0.0001,-7.762263655662537,-21.91607427597046,,,
0.0,0.050085291266441345,26464,97,272,50.0,-22.53188426,530,16460,0.19146637618541718,0.03814501455053687,0.0001,-7.640723705291748,-20.99117946624756,,,
0.0,0.05008648335933685,26964,96,278,50.0,-22.40200916,540,16960,0.18217816203832626,0.052220714278519154,0.0001,-8.009718894958496,-19.99666404724121,,,
0.0,0.05009043961763382,27464,96,284,50.0,-22.80620262,550,17460,0.1733463518321514,0.039273262955248356,0.0001,-8.895538806915283,-19.11353349685669,,,
0.0,0.05009283870458603,27964,96,290,50.0,-22.954867410000002,560,17960,0.16488470137119293,0.030507365241646767,0.0001,-8.88095211982727,-18.300316333770752,,,
0.0,0.05009939894080162,28464,95,296,50.0,-22.569394539999994,570,18460,0.15689334273338318,0.022260185331106186,0.0001,-9.095197200775146,-17.43209409713745,,,
0.0,0.05010099709033966,28964,95,302,50.0,-22.78808295,580,18960,0.1492345929145813,0.024233973119407892,0.0001,-9.449706315994263,-16.527045249938965,,,
0.0,0.05009707063436508,29464,95,308,50.0,-22.512201459999996,590,19460,0.14198936522006989,0.06674924911931157,0.0001,-9.689950704574585,-15.861900091171265,,,
0.0,0.050106048583984375,29964,95,314,50.0,-22.361577139999998,600,19960,0.1350870095193386,0.024942392483353615,0.0001,-10.414763450622559,-15.046763896942139,,,
0.0,0.050102349370718,30464,95,320,50.0,-22.251410779999997,610,20460,0.12849662452936172,0.05046607134863734,0.0001,-10.022128820419312,-14.22378659248352,,,
0.0,0.05010508745908737,30964,94,326,50.0,-22.16503006,620,20960,0.12223711237311363,0.026011536829173565,0.0001,-10.149179458618164,-13.40599799156189,,,
0.0,0.05010621249675751,31464,94,333,50.0,-21.83646271,630,21460,0.11629104241728783,0.02266724407672882,0.0001,-10.681740999221802,-12.740896940231323,,,
0.0,0.05011691898107529,31964,94,339,50.0,-22.13069447,640,21960,0.11061552353203297,0.020789470989257097,0.0001,-10.716450452804565,-12.080951690673828,,,
0.0,0.05010644346475601,32464,93,345,50.0,-21.862535279999996,650,22460,0.1052403636276722,0.018638626905158162,0.0001,-11.168713092803955,-11.443647146224976,,,
0.0,0.05011291801929474,32964,93,351,50.0,-21.09494224,660,22960,0.10013095289468765,0.017712298780679703,0.0001,-11.059427261352539,-10.764284133911133,,,
0.0,0.05011458694934845,33464,93,358,50.0,-21.154044120000002,670,23460,0.09524965845048428,0.00869653606787324,0.0001,-11.437339067459106,-10.122417449951172,,,
0.0,0.050115421414375305,33964,93,364,50.0,-20.721386289999995,680,23960,0.09061701595783234,0.012590655125677586,0.0001,-11.479120016098022,-9.434749364852905,,,
