rollout/ep_rew_mean,train/std,rollout/ep_len_mean,time/episodes,rollout/success_rate,time/time_elapsed,time/total_timesteps,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,eval/success_rate,eval/mean_ep_length,eval/mean_reward
-21.134075129999996,0.050175927579402924,50.0,440,0.0,202,21925,108,-5.9075270891189575,0.0001,11924,-30.258981704711914,0.12232457101345062,0.30148008465766907,,,
-20.588418810000004,0.05019252002239227,50.0,450,0.0,208,22425,107,-6.123173236846924,0.0001,12424,-29.36920404434204,0.20747266337275505,0.2868102043867111,,,
-20.961204850000005,0.05018248409032822,50.0,460,0.0,213,22925,107,-6.708776235580444,0.0001,12924,-28.40788698196411,0.13370204716920853,0.2728585973381996,,,
-20.73052847,0.05017533898353577,50.0,470,0.0,219,23425,106,-6.59730064868927,0.0001,13424,-27.311209201812744,0.14974170736968517,0.259614072740078,,,
-20.77941355,0.05018431693315506,50.0,480,0.0,225,23925,106,-6.787114381790161,0.0001,13924,-26.33947992324829,0.07830258458852768,0.2469898797571659,,,
-21.224024399999998,0.05018872022628784,50.0,490,0.0,231,24425,105,-7.122947812080383,0.0001,14424,-25.29734182357788,0.05266204755753279,0.2349923625588417,,,
-21.58338753,0.05018925666809082,50.0,500,0.0,236,24925,105,-7.58024525642395,0.0001,14924,-24.37126636505127,0.1503515299409628,0.22355743497610092,,,
-21.58713041,0.05019335076212883,50.0,510,0.0,242,25425,104,-7.860466003417969,0.0001,15424,-23.268128395080566,0.17742696404457092,0.21267644688487053,,,
-21.10381237,0.05020037293434143,50.0,520,0.0,248,25925,104,-7.584782123565674,0.0001,15924,-22.239113807678223,0.03739216551184654,0.2023409605026245,,,
-20.72035637,0.05021098256111145,50.0,530,0.0,254,26425,103,-8.020831823348999,0.0001,16424,-21.453590393066406,0.04767406638711691,0.19251003861427307,,,
-20.61973136,0.050208624452352524,50.0,540,0.0,260,26925,103,-8.494203567504883,0.0001,16924,-20.419223308563232,0.0560720912180841,0.18313178047537804,,,
-21.009328319999995,0.05021306872367859,50.0,550,0.0,266,27425,103,-8.82661771774292,0.0001,17424,-19.42955446243286,0.055742970667779446,0.17423875257372856,,,
-20.998063870000006,0.050221722573041916,50.0,560,0.0,271,27925,102,-8.550174474716187,0.0001,17924,-18.60822343826294,0.04588138684630394,0.16576505079865456,,,
-21.121230350000005,0.05022783204913139,50.0,570,0.0,277,28425,102,-9.084454536437988,0.0001,18424,-17.709810256958008,0.05305649992078543,0.15770336613059044,,,
-21.549316169999997,0.050231367349624634,50.0,580,0.0,283,28925,102,-9.442908763885498,0.0001,18924,-16.816956043243408,0.045727299991995096,0.1500062718987465,,,
-20.990536930000005,0.05023881793022156,50.0,590,0.0,289,29425,101,-9.82120418548584,0.0001,19424,-16.05343008041382,0.036359354853630066,0.14272457733750343,,,
-20.847229790000007,0.05024456977844238,50.0,600,0.0,295,29925,101,-9.47139573097229,0.0001,19924,-15.156925201416016,0.02578171342611313,0.13577501475811005,,,
-21.474116379999995,0.05025259777903557,50.0,610,0.0,300,30425,101,-9.328365087509155,0.0001,20424,-14.304870843887329,0.04666835628449917,0.12916860729455948,,,
-21.878864840000002,0.05026960372924805,50.0,620,0.0,306,30925,100,-10.43854284286499,0.0001,20924,-13.683585166931152,0.039432074408978224,0.12290504388511181,,,
-21.535293879999998,0.050269126892089844,50.0,630,0.0,312,31425,100,-10.59258770942688,0.0001,21424,-13.018410682678223,0.07899969536811113,0.11691934615373611,,,
-21.494302389999998,0.05027511343359947,50.0,640,0.0,318,31925,100,-10.493611574172974,0.0001,21924,-12.181063413619995,0.018059059511870146,0.11123977042734623,,,
-21.35513422,0.05027368292212486,50.0,650,0.0,324,32425,100,-11.003179550170898,0.0001,22424,-11.527748823165894,0.019732119981199503,0.10583279468119144,,,
-21.456609580000006,0.050282686948776245,50.0,660,0.0,330,32925,99,-10.957082271575928,0.0001,22924,-10.77887749671936,0.01901759346947074,0.10067258402705193,,,
-21.277833029999996,0.05028432607650757,50.0,670,0.0,335,33425,99,-12.462366819381714,0.0001,23424,-10.276728868484497,0.01945370645262301,0.09576388075947762,,,
-20.80786638,0.05028310418128967,50.0,680,0.0,341,33925,99,-11.590035200119019,0.0001,23924,-9.636770009994507,0.01232206413988024,0.09111256711184978,,,
-21.395165379999998,0.05029094219207764,50.0,690,0.0,347,34425,99,-12.182677030563354,0.0001,24424,-9.103925943374634,0.04861236037686467,0.08666744641959667,,,
-21.36267825,0.05028592050075531,50.0,700,0.0,353,34925,98,-12.69876217842102,0.0001,24924,-8.575029611587524,0.026749023236334324,0.08245454728603363,,,
-20.90669283,0.05029664561152458,50.0,710,0.0,359,35425,98,-12.620532274246216,0.0001,25424,-7.948630928993225,0.030302769970148802,0.07845018617808819,,,
-21.15156024,0.050296396017074585,50.0,720,0.0,364,35925,98,-12.629305362701416,0.0001,25924,-7.361979842185974,0.050358863547444344,0.0746185015887022,,,
-21.444817940000004,0.05029412731528282,50.0,730,0.0,370,36425,98,-12.88364577293396,0.0001,26424,-6.86760401725769,0.02867423091083765,0.0709992814809084,,,
-21.29736803,0.05029177665710449,50.0,740,0.0,376,36925,98,-13.310220956802368,0.0001,26924,-6.419512152671814,0.025070264702662826,0.06753722205758095,,,
-21.543896959999998,0.05029216408729553,50.0,750,0.0,382,37425,97,-13.266209363937378,0.0001,27424,-5.930716514587402,0.006975094322115183,0.06425314769148827,,,
-21.24812686,0.050303008407354355,50.0,760,0.0,388,37925,97,-13.558506727218628,0.0001,27924,-5.520887970924377,0.05020178644917905,0.061120509169995785,,,
-21.475514290000007,0.05029221996665001,50.0,770,0.0,394,38425,97,-13.239910364151001,0.0001,28424,-5.067363142967224,0.020673510618507862,0.05814462248235941,,,
-21.369825369999997,0.05030059069395065,50.0,780,0.0,399,38925,97,-14.286794662475586,0.0001,28924,-4.690000653266907,0.008549578255042434,0.05530311167240143,,,
-20.867570159999996,0.05030298978090286,50.0,790,0.0,405,39425,97,-13.852355718612671,0.0001,29424,-4.30105996131897,0.03615769057068974,0.05261830519884825,,,
-20.75705365,0.05030233785510063,50.0,800,0.0,411,39925,97,-14.755854606628418,0.0001,29924,-4.024750173091888,0.009346015867777169,0.05005121789872646,,,
,,,,,,40000,,-14.597728967666626,0.0001,29996,-3.912782371044159,0.011698470218107104,0.04969569109380245,0.0,50.0,-22.855510000000002
-20.78165173,0.05031512677669525,50.0,810,0.0,422,40425,95,-14.58687138557434,0.0001,30424,-3.558825194835663,0.009119649766944349,0.04762019030749798,,,
-20.40395065,0.05032438039779663,50.0,820,0.0,428,40925,95,-14.941331148147583,0.0001,30924,-3.251218855381012,0.008661887608468533,0.045297086238861084,,,
-20.43876381,0.05032084509730339,50.0,830,0.0,434,41425,95,-15.064829111099243,0.0001,31424,-2.958465874195099,0.003208283771527931,0.04308860097080469,,,
-20.57719608,0.05032141134142876,50.0,840,0.0,440,41925,95,-15.946838140487671,0.0001,31924,-2.6088457703590393,0.005431474128272384,0.040993438102304935,,,
-20.419303099999993,0.050320595502853394,50.0,850,0.0,446,42425,95,-16.15262484550476,0.0001,32424,-2.3655916452407837,0.005784125794889405,0.039003814570605755,,,
-21.064691630000002,0.050323307514190674,50.0,860,0.0,451,42925,94,-15.915364265441895,0.0001,32924,-1.9832909107208252,0.003209059650544077,0.03710865043103695,,,
-20.847924680000002,0.0503314733505249,50.0,870,0.0,457,43425,94,-16.48218035697937,0.0001,33424,-1.8000704646110535,0.00590609636856243,0.03530377056449652,,,
-21.04311296,0.05033036693930626,50.0,880,0.0,463,43925,94,-16.283329963684082,0.0001,33924,-1.5167682468891144,0.0020887518185190856,0.03358559217303991,,,
-21.40493802,0.05033711716532707,50.0,890,0.0,469,44425,94,-16.892021656036377,0.0001,34424,-1.2197252213954926,0.009353708708658814,0.03195573855191469,,,
-21.26137191,0.05034637078642845,50.0,900,0.0,474,44925,94,-17.992873668670654,0.0001,34924,-1.0120254307985306,0.006554451654665172,0.03039067843928933,,,
-21.53066928,0.05035024136304855,50.0,910,0.0,480,45425,94,-18.349345207214355,0.0001,35424,-0.8311733156442642,0.012911628524307162,0.02890762034803629,,,
-23.007341609999994,0.05035999417304993,50.0,920,0.0,486,45925,94,-17.787128925323486,0.0001,35924,-0.6698536425828934,0.024968004843685776,0.02749922126531601,,,
-22.922120860000003,0.050350647419691086,50.0,930,0.0,492,46425,94,-18.085944652557373,0.0001,36424,-0.40235166251659393,0.003385176765732467,0.026159484405070543,,,
