rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,time/fps,rollout/success_rate,train/std,rollout/ep_len_mean
-24.373915099999998,2,500,10,185,0.0,0.049787066876888275,50.0
-23.22663825,5,1000,20,181,0.0,0.049787066876888275,50.0
-23.103381,8,1500,30,179,0.0,0.049787066876888275,50.0
-22.004736725,11,2000,40,179,0.0,0.049787066876888275,50.0
-22.164827140000003,13,2500,50,180,0.0,0.049787066876888275,50.0
-21.97774578333333,16,3000,60,181,0.0,0.049787066876888275,50.0
-22.287726799999998,19,3500,70,181,0.0,0.049787066876888275,50.0
-22.290103225,22,4000,80,180,0.0,0.049787066876888275,50.0
-22.522089711111107,24,4494,90,181,0.011111111380159855,0.049787066876888275,49.93333333333333
-22.480855579999997,27,4994,100,180,0.009999999776482582,0.049787066876888275,49.94
-22.24545707,30,5494,110,177,0.009999999776482582,0.049787066876888275,49.94
-22.530417590000003,33,5994,120,176,0.009999999776482582,0.049787066876888275,49.94
-22.044056349999995,36,6494,130,177,0.009999999776482582,0.049787066876888275,49.94
-21.946315099999996,39,6994,140,177,0.009999999776482582,0.049787066876888275,49.94
-21.918214100000004,42,7494,150,177,0.009999999776482582,0.049787066876888275,49.94
-21.947952199999996,44,7994,160,177,0.009999999776482582,0.049787066876888275,49.94
-22.04296429,47,8494,170,178,0.009999999776482582,0.049787066876888275,49.94
-21.728400239999996,50,8994,180,177,0.009999999776482582,0.049787066876888275,49.94
-21.536740569999996,53,9494,190,176,0.0,0.049787066876888275,50.0
