rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/fps,train/std,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
50.0,-20.866625750000004,1040,0.0,52000,180,287,0.05017554759979248,-31.982370376586914,0.3478279709815979,0.0001,-5.198755741119385,10499,0.12532563507556915,,,
50.0,-20.96077005,1050,0.0,52600,182,287,0.05017925426363945,-31.855716705322266,0.3426344394683838,0.0001,-5.0168609619140625,10649,0.16677671670913696,,,
50.0,-20.976427989999998,1060,0.0,53000,184,287,0.05018305033445358,-31.693607330322266,0.3392215371131897,0.0001,-5.560060501098633,10749,1.003009557723999,,,
49.67,-21.04944053,1070,0.009999999776482582,53600,186,286,0.050179582089185715,-31.408594131469727,0.33418503403663635,0.0001,-5.604593753814697,10899,0.29025357961654663,,,
49.67,-21.139492040000004,1080,0.009999999776482582,54000,188,286,0.050181470811367035,-31.150930404663086,0.33085280656814575,0.0001,-5.77056884765625,10999,0.28198766708374023,,,
49.67,-21.06554802,1090,0.009999999776482582,54600,190,286,0.05018419027328491,-31.044504165649414,0.3259620666503906,0.0001,-5.408662796020508,11149,0.11903229355812073,,,
49.67,-21.122277730000004,1100,0.009999999776482582,55000,192,286,0.050188299268484116,-30.79073715209961,0.3227069675922394,0.0001,-5.744393348693848,11249,0.0962238609790802,,,
49.67,-21.097024310000002,1110,0.009999999776482582,55600,194,285,0.05018415302038193,-30.536357879638672,0.3179127275943756,0.0001,-5.737520217895508,11399,0.09861291944980621,,,
49.67,-21.305336770000004,1120,0.009999999776482582,56000,196,285,0.050192028284072876,-30.577919006347656,0.31475502252578735,0.0001,-5.799277305603027,11499,0.07730786502361298,,,
49.67,-21.363436359999994,1130,0.009999999776482582,56600,198,285,0.05019232630729675,-29.56832504272461,0.3100683093070984,0.0001,-5.097856521606445,11649,0.11725352704524994,,,
49.67,-21.360540970000002,1140,0.009999999776482582,57000,199,285,0.05019672214984894,-30.245054244995117,0.3069619834423065,0.0001,-6.156749248504639,11749,0.06722234189510345,,,
49.67,-21.208600749999995,1150,0.009999999776482582,57600,202,284,0.05020006000995636,-29.53961944580078,0.302368700504303,0.0001,-5.994277000427246,11899,0.08291441947221756,,,
49.67,-21.168864010000004,1160,0.009999999776482582,58000,203,284,0.05019764602184296,-29.373300552368164,0.29936373233795166,0.0001,-6.265792369842529,11999,0.08785632252693176,,,
50.0,-21.282460680000003,1170,0.0,58600,206,284,0.050195418298244476,-29.248645782470703,0.29490914940834045,0.0001,-6.691529273986816,12149,0.12169929593801498,,,
50.0,-21.40464096,1180,0.0,59000,207,284,0.050201889127492905,-29.16813850402832,0.2919965088367462,0.0001,-5.854687690734863,12249,0.090683214366436,,,
50.0,-21.39426983,1190,0.0,59600,209,283,0.05020584166049957,-28.62320327758789,0.2876857817173004,0.0001,-6.146413803100586,12399,0.07945196330547333,,,
50.0,-21.344215549999994,1200,0.0,60000,211,283,0.05020624399185181,-28.644874572753906,0.2848283350467682,0.0001,-6.2530927658081055,12499,0.06891538947820663,,,
50.0,-21.373644130000002,1210,0.0,60600,213,283,0.05020352825522423,-28.322385787963867,0.2806088924407959,0.0001,-7.748020172119141,12649,0.1916441023349762,,,
50.0,-21.039196559999997,1220,0.0,61000,215,283,0.050204962491989136,-28.00904655456543,0.2778203785419464,0.0001,-6.319723129272461,12749,0.06519955396652222,,,
50.0,-20.808757810000003,1230,0.0,61600,217,282,0.050200577825307846,-27.52948760986328,0.2736934423446655,0.0001,-6.2734174728393555,12899,3.1365866661071777,,,
50.0,-20.51182198,1240,0.0,62000,219,282,0.05020520091056824,-27.592845916748047,0.2709607183933258,0.0001,-7.2687225341796875,12999,0.17842042446136475,,,
50.0,-20.487546379999998,1250,0.0,62600,221,282,0.050211355090141296,-27.150480270385742,0.2669402062892914,0.0001,-6.725154399871826,13149,0.058045320212841034,,,
