Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
50,1,-20.351199,50,0.0,0.0,-20.351199
100,2,-20.013843,50,0.0,0.0,-20.013843
150,3,-25.039442,50,0.0,0.0,-20.013843
200,4,-30.562795,50,0.0,0.0,-20.013843
250,5,-35.839651,50,0.0,0.0,-20.013843
300,6,-10.416366,50,0.0,0.0,-10.416366
350,7,-28.991499,50,0.0,0.0,-10.416366
400,8,-20.245318,50,0.0,0.0,-10.416366
450,9,-15.579636,50,0.0,0.0,-10.416366
500,10,-22.489423,50,0.0,0.0,-10.416366
550,11,-20.81645,50,0.0,0.0,-10.416366
600,12,-23.384485,50,0.0,0.0,-10.416366
650,13,-22.871538,50,0.0,0.0,-10.416366
700,14,-23.885381,50,0.0,0.0,-10.416366
750,15,-19.644526,50,0.0,0.0,-10.416366
800,16,-13.597592,50,0.0,0.0,-10.416366
850,17,-26.595566,50,0.0,0.0,-10.416366
900,18,-14.130255,50,0.0,0.0,-10.416366
950,19,-13.462755,50,0.0,0.0,-10.416366
1000,20,-17.881972,50,0.0,0.0,-10.416366
1050,21,-11.939476,50,0.0,0.0,-10.416366
1100,22,-21.590801,50,0.0,0.0,-10.416366
1150,23,-10.520316,50,0.0,0.0,-10.416366
1200,24,-24.336647,50,0.0,0.0,-10.416366
1250,25,-20.01561,50,0.0,0.0,-10.416366
1300,26,-17.711361,50,0.0,0.0,-10.416366
1350,27,-12.894829,50,0.0,0.0,-10.416366
1400,28,-14.076616,50,0.0,0.0,-10.416366
1450,29,-48.113651,50,0.0,0.0,-10.416366
1500,30,-20.290281,50,0.0,0.0,-10.416366
1550,31,-18.95388,50,0.0,0.0,-10.416366
1600,32,-31.328753,50,0.0,0.0,-10.416366
1650,33,-16.274916,50,0.0,0.0,-10.416366
1700,34,-26.019558,50,0.0,0.0,-10.416366
1750,35,-22.08514,50,0.0,0.0,-10.416366
1800,36,-14.686427,50,0.0,0.0,-10.416366
1850,37,-19.223318,50,0.0,0.0,-10.416366
1900,38,-18.24961,50,0.0,0.0,-10.416366
1950,39,-15.428697,50,0.0,0.0,-10.416366
2000,40,-17.378965,50,0.0,0.0,-10.416366
2050,41,-9.595347,50,0.0,0.0,-9.595347
2100,42,-19.1679,50,0.0,0.0,-9.595347
2150,43,-33.32136,50,0.0,0.0,-9.595347
2200,44,-19.190699,50,0.0,0.0,-9.595347
2250,45,-17.0086,50,0.0,0.0,-9.595347
2300,46,-25.790783,50,0.0,0.0,-9.595347
2350,47,-16.323581,50,0.0,0.0,-9.595347
2400,48,-16.669061,50,0.0,0.0,-9.595347
2450,49,-17.630198,50,0.0,0.0,-9.595347
2500,50,-23.496281,50,0.0,0.0,-9.595347
2550,51,-26.528301,50,0.0,0.0,-9.595347
2600,52,-18.587174,50,0.0,0.0,-9.595347
2650,53,-26.932884,50,0.0,0.0,-9.595347
2700,54,-20.872666,50,0.0,0.0,-9.595347
2750,55,-15.005804,50,0.0,0.0,-9.595347
2800,56,-25.342296,50,0.0,0.0,-9.595347
2850,57,-21.403709,50,0.0,0.0,-9.595347
2900,58,-21.857296,50,0.0,0.0,-9.595347
2950,59,-15.424045,50,0.0,0.0,-9.595347
3000,60,-12.385956,50,0.0,0.0,-9.595347
3050,61,-20.684056,50,0.0,0.0,-9.595347
3100,62,-23.13646,50,0.0,0.0,-9.595347
3150,63,-20.693469,50,0.0,0.0,-9.595347
3200,64,-27.890555,50,0.0,0.0,-9.595347
3250,65,-17.446094,50,0.0,0.0,-9.595347
3300,66,-17.363509,50,0.0,0.0,-9.595347
3350,67,-19.992453,50,0.0,0.0,-9.595347
3400,68,-26.465506,50,0.0,0.0,-9.595347
3450,69,-8.015496,50,0.0,0.0,-8.015496
3500,70,-33.583548,50,0.0,0.0,-8.015496
3550,71,-32.665223,50,0.0,0.0,-8.015496
3600,72,-19.74161,50,0.0,0.0,-8.015496
3650,73,-18.224054,50,0.0,0.0,-8.015496
3700,74,-13.268322,50,0.0,0.0,-8.015496
3750,75,-24.60575,50,0.0,0.0,-8.015496
3800,76,-13.704026,50,0.0,0.0,-8.015496
