Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
50,1,-13.974992,50,0.0,0.0,-13.974992
100,2,-30.260721,50,0.0,0.0,-13.974992
150,3,-24.412829,50,0.0,0.0,-13.974992
200,4,-21.40851,50,0.0,0.0,-13.974992
250,5,-26.211848,50,0.0,0.0,-13.974992
300,6,-25.559635,50,0.0,0.0,-13.974992
350,7,-20.37506,50,0.0,0.0,-13.974992
400,8,-29.025176,50,0.0,0.0,-13.974992
450,9,-28.186875,50,0.0,0.0,-13.974992
500,10,-24.334552,50,0.0,0.0,-13.974992
550,11,-27.324297,50,0.0,0.0,-13.974992
600,12,-22.525638,50,0.0,0.0,-13.974992
650,13,-11.17007,50,0.0,0.0,-11.17007
700,14,-27.989332,50,0.0,0.0,-11.17007
750,15,-26.690729,50,0.0,0.0,-11.17007
800,16,-22.174278,50,0.0,0.0,-11.17007
850,17,-17.872981,50,0.0,0.0,-11.17007
900,18,-11.990287,50,0.0,0.0,-11.17007
950,19,-27.6414,50,0.0,0.0,-11.17007
1000,20,-25.078087,50,0.0,0.0,-11.17007
1050,21,-26.906617,50,0.0,0.0,-11.17007
1100,22,-10.284125,50,0.0,0.0,-10.284125
1150,23,-16.221817,50,0.0,0.0,-10.284125
1200,24,-22.412852,50,0.0,0.0,-10.284125
1250,25,-21.946151,50,0.0,0.0,-10.284125
1300,26,-12.178093,50,0.0,0.0,-10.284125
1350,27,-29.094901,50,0.0,0.0,-10.284125
1400,28,-16.903186,50,0.0,0.0,-10.284125
1450,29,-21.831234,50,0.0,0.0,-10.284125
1500,30,-17.227204,50,0.0,0.0,-10.284125
1550,31,-32.392409,50,0.0,0.0,-10.284125
1600,32,-32.165324,50,0.0,0.0,-10.284125
1650,33,-21.685981,50,0.0,0.0,-10.284125
1700,34,-36.96101,50,0.0,0.0,-10.284125
1750,35,-20.022692,50,0.0,0.0,-10.284125
1800,36,-24.857036,50,0.0,0.0,-10.284125
1850,37,-17.523334,50,0.0,0.0,-10.284125
1900,38,-16.681866,50,0.0,0.0,-10.284125
1950,39,-11.123705,50,0.0,0.0,-10.284125
2000,40,-15.950718,50,0.0,0.0,-10.284125
2050,41,-12.437502,50,0.0,0.0,-10.284125
2100,42,-97.294556,50,0.0,0.0,-10.284125
2150,43,-18.257234,50,0.0,0.0,-10.284125
2200,44,-24.142778,50,0.0,0.0,-10.284125
2250,45,-56.609418,50,0.0,0.0,-10.284125
2300,46,-23.272063,50,0.0,0.0,-10.284125
2350,47,-26.326563,50,0.0,0.0,-10.284125
2400,48,-18.636748,50,0.0,0.0,-10.284125
2450,49,-24.569508,50,0.0,0.0,-10.284125
