Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
50,1,-23.988845,50,0.0,0.0,-23.988845
100,2,-19.364265,50,0.0,0.0,-19.364265
150,3,-31.930639,50,0.0,0.0,-19.364265
200,4,-7.51481,50,0.0,0.0,-7.51481
250,5,-22.131911,50,0.0,0.0,-7.51481
300,6,-24.194828,50,0.0,0.0,-7.51481
350,7,-20.125705,50,0.0,0.0,-7.51481
400,8,-32.693339,50,0.0,0.0,-7.51481
450,9,-17.464875,50,0.0,0.0,-7.51481
500,10,-23.959689,50,0.0,0.0,-7.51481
550,11,-17.376674,50,0.0,0.0,-7.51481
600,12,-24.834303,50,0.0,0.0,-7.51481
650,13,-22.562294,50,0.0,0.0,-7.51481
700,14,-12.572115,50,0.0,0.0,-7.51481
750,15,-19.103423,50,0.0,0.0,-7.51481
800,16,-14.689947,50,0.0,0.0,-7.51481
850,17,-24.256714,50,0.0,0.0,-7.51481
900,18,-29.084993,50,0.0,0.0,-7.51481
950,19,-17.016709,50,0.0,0.0,-7.51481
1000,20,-27.52966,50,0.0,0.0,-7.51481
1050,21,-35.652741,50,0.0,0.0,-7.51481
1100,22,-33.469747,50,0.0,0.0,-7.51481
1150,23,-23.328812,50,0.0,0.0,-7.51481
1200,24,-30.860246,50,0.0,0.0,-7.51481
1250,25,-21.890384,50,0.0,0.0,-7.51481
1300,26,-12.275825,50,0.0,0.0,-7.51481
1350,27,-12.022874,50,0.0,0.0,-7.51481
1400,28,-13.604907,50,0.0,0.0,-7.51481
1450,29,-22.002991,50,0.0,0.0,-7.51481
1500,30,-16.60897,50,0.0,0.0,-7.51481
1550,31,-15.203293,50,0.0,0.0,-7.51481
1600,32,-21.597856,50,0.0,0.0,-7.51481
1650,33,-26.051527,50,0.0,0.0,-7.51481
1700,34,-23.492159,50,0.0,0.0,-7.51481
1750,35,-12.362651,50,0.0,0.0,-7.51481
1800,36,-20.900831,50,0.0,0.0,-7.51481
1850,37,-24.2882,50,0.0,0.0,-7.51481
1900,38,-24.225186,50,0.0,0.0,-7.51481
1950,39,-16.642284,50,0.0,0.0,-7.51481
2000,40,-12.189062,50,0.0,0.0,-7.51481
2050,41,-13.069573,50,0.0,0.0,-7.51481
2100,42,-17.723193,50,0.0,0.0,-7.51481
2150,43,-22.649311,50,0.0,0.0,-7.51481
2200,44,-37.579701,50,0.0,0.0,-7.51481
2250,45,-23.180793,50,0.0,0.0,-7.51481
2300,46,-24.957422,50,0.0,0.0,-7.51481
2350,47,-17.478815,50,0.0,0.0,-7.51481
2400,48,-16.124489,50,0.0,0.0,-7.51481
2450,49,-20.947959,50,0.0,0.0,-7.51481
2500,50,-29.283921,50,0.0,0.0,-7.51481
2550,51,-12.76116,50,0.0,0.0,-7.51481
2600,52,-27.032032,50,0.0,0.0,-7.51481
2650,53,-25.131215,50,0.0,0.0,-7.51481
2700,54,-16.64084,50,0.0,0.0,-7.51481
2750,55,-8.064942,50,0.0,0.0,-7.51481
2800,56,-19.426409,50,0.0,0.0,-7.51481
2850,57,-20.097017,50,0.0,0.0,-7.51481
2900,58,-24.103958,50,0.0,0.0,-7.51481
2950,59,-22.454078,50,0.0,0.0,-7.51481
3000,60,-22.056894,50,0.0,0.0,-7.51481
3050,61,-21.990017,50,0.0,0.0,-7.51481
3100,62,-9.785434,50,0.0,0.0,-7.51481
3150,63,-19.328881,50,0.0,0.0,-7.51481
3200,64,-20.254552,50,0.0,0.0,-7.51481
3250,65,-14.91762,50,0.0,0.0,-7.51481
3300,66,-19.881349,50,0.0,0.0,-7.51481
3350,67,-25.19587,50,0.0,0.0,-7.51481
3400,68,-9.094969,50,0.0,0.0,-7.51481
3450,69,-22.344484,50,0.0,0.0,-7.51481
3500,70,-21.619295,50,0.0,0.0,-7.51481
3550,71,-20.270956,50,0.0,0.0,-7.51481
3600,72,-20.845052,50,0.0,0.0,-7.51481
3650,73,-15.155373,50,0.0,0.0,-7.51481
3700,74,-21.688309,50,0.0,0.0,-7.51481
3750,75,-14.239355,50,0.0,0.0,-7.51481
3800,76,-14.375171,50,0.0,0.0,-7.51481
3850,77,-17.910773,50,0.0,0.0,-7.51481
3900,78,-26.341949,50,0.0,0.0,-7.51481
3950,79,-23.673983,50,0.0,0.0,-7.51481
4000,80,-12.40332,50,0.0,0.0,-7.51481
4050,81,-19.535942,50,0.0,0.0,-7.51481
4100,82,-20.908861,50,0.0,0.0,-7.51481
4150,83,-19.968988,50,0.0,0.0,-7.51481
4200,84,-18.237109,50,0.0,0.0,-7.51481
4250,85,-20.286887,50,0.0,0.0,-7.51481
4300,86,-20.626617,50,0.0,0.0,-7.51481
4350,87,-20.782438,50,0.0,0.0,-7.51481
4400,88,-17.565411,50,0.0,0.0,-7.51481
4450,89,-13.854564,50,0.0,0.0,-7.51481
4500,90,-20.629656,50,0.0,0.0,-7.51481
4550,91,-24.308076,50,0.0,0.0,-7.51481
4600,92,-9.834418,50,0.0,0.0,-7.51481
4650,93,-20.471621,50,0.0,0.0,-7.51481
4700,94,-32.624418,50,0.0,0.0,-7.51481
4750,95,-13.828488,50,0.0,0.0,-7.51481
4800,96,-20.517358,50,0.0,0.0,-7.51481
4850,97,-24.240978,50,0.0,0.0,-7.51481
4900,98,-24.429159,50,0.0,0.0,-7.51481
4950,99,-11.593653,50,0.0,0.0,-7.51481
5000,100,-13.023448,50,0.0,0.0,-7.51481
5050,101,-22.691456,50,0.0,0.0,-7.51481
5100,102,-23.604556,50,0.0,0.0,-7.51481
5150,103,-23.788845,50,0.0,0.0,-7.51481
5200,104,-20.00775,50,0.0,0.0,-7.51481
5250,105,-26.071425,50,0.0,0.0,-7.51481
5300,106,-21.574534,50,0.0,0.0,-7.51481
5350,107,-30.971016,50,0.0,0.0,-7.51481
5400,108,-24.363433,50,0.0,0.0,-7.51481
5450,109,-10.736569,50,0.0,0.0,-7.51481
5500,110,-30.738067,50,0.0,0.0,-7.51481
5550,111,-9.409867,50,0.0,0.0,-7.51481
5600,112,-19.645345,50,0.0,0.0,-7.51481
5650,113,-19.750512,50,0.0,0.0,-7.51481
5700,114,-14.156507,50,0.0,0.0,-7.51481
5750,115,-29.179128,50,0.0,0.0,-7.51481
5800,116,-27.570398,50,0.0,0.0,-7.51481
5850,117,-25.436666,50,0.0,0.0,-7.51481
5900,118,-21.506107,50,0.0,0.0,-7.51481
5950,119,-23.6489,50,0.0,0.0,-7.51481
6000,120,-23.875575,50,0.0,0.0,-7.51481
6050,121,-12.83123,50,0.0,0.0,-7.51481
