Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
50,1,-31.844405,50,0.0,0.0,-31.844405
100,2,-14.256592,50,0.0,0.0,-14.256592
150,3,-30.125846,50,0.0,0.0,-14.256592
200,4,-20.473288,50,0.0,0.0,-14.256592
250,5,-12.014031,50,0.0,0.0,-12.014031
300,6,-36.747842,50,0.0,0.0,-12.014031
350,7,-10.906784,50,0.0,0.0,-10.906784
400,8,-12.235422,50,0.0,0.0,-10.906784
450,9,-28.799163,50,0.0,0.0,-10.906784
500,10,-27.706879,50,0.0,0.0,-10.906784
550,11,-24.333993,50,0.0,0.0,-10.906784
600,12,-20.357402,50,0.0,0.0,-10.906784
650,13,-7.066861,50,0.0,0.0,-7.066861
700,14,-30.390814,50,0.0,0.0,-7.066861
750,15,-21.714474,50,0.0,0.0,-7.066861
800,16,-19.623058,50,0.0,0.0,-7.066861
850,17,-19.168832,50,0.0,0.0,-7.066861
900,18,-12.128262,50,0.0,0.0,-7.066861
950,19,-20.640498,50,0.0,0.0,-7.066861
1000,20,-16.323103,50,0.0,0.0,-7.066861
1050,21,-18.736392,50,0.0,0.0,-7.066861
1100,22,-20.760833,50,0.0,0.0,-7.066861
1150,23,-11.730286,50,0.0,0.0,-7.066861
1200,24,-42.986642,50,0.0,0.0,-7.066861
1250,25,-32.378125,50,0.0,0.0,-7.066861
1300,26,-24.576177,50,0.0,0.0,-7.066861
1350,27,-23.92435,50,0.0,0.0,-7.066861
1400,28,-27.904147,50,0.0,0.0,-7.066861
1450,29,-11.4809,50,0.0,0.0,-7.066861
1500,30,-34.761446,50,0.0,0.0,-7.066861
1550,31,-23.782357,50,0.0,0.0,-7.066861
1600,32,-10.653217,50,0.0,0.0,-7.066861
1650,33,-18.926545,50,0.0,0.0,-7.066861
1700,34,-24.49982,50,0.0,0.0,-7.066861
1750,35,-22.461254,50,0.0,0.0,-7.066861
1800,36,-30.408596,50,0.0,0.0,-7.066861
1850,37,-19.092266,50,0.0,0.0,-7.066861
1900,38,-24.491255,50,0.0,0.0,-7.066861
1950,39,-23.741369,50,0.0,0.0,-7.066861
2000,40,-29.931207,50,0.0,0.0,-7.066861
2050,41,-23.469323,50,0.0,0.0,-7.066861
2100,42,-28.166998,50,0.0,0.0,-7.066861
2150,43,-9.569,50,0.0,0.0,-7.066861
2200,44,-13.154475,50,0.0,0.0,-7.066861
2250,45,-28.694827,50,0.0,0.0,-7.066861
2300,46,-22.64473,50,0.0,0.0,-7.066861
2350,47,-14.820034,50,0.0,0.0,-7.066861
2400,48,-19.959527,50,0.0,0.0,-7.066861
2450,49,-20.20497,50,0.0,0.0,-7.066861
2500,50,-30.464379,50,0.0,0.0,-7.066861
2550,51,-16.464694,50,0.0,0.0,-7.066861
2600,52,-27.986756,50,0.0,0.0,-7.066861
2650,53,-14.854529,50,0.0,0.0,-7.066861
2700,54,-30.419413,50,0.0,0.0,-7.066861
2728,55,-7.965102,28,1.0,0.01818181818181818,-7.066861
2778,56,-17.872428,50,0.0,0.017857142857142856,-7.066861
2828,57,-16.746491,50,0.0,0.017543859649122806,-7.066861
2878,58,-25.206318,50,0.0,0.017241379310344827,-7.066861
2928,59,-25.69509,50,0.0,0.01694915254237288,-7.066861
2978,60,-20.37673,50,0.0,0.016666666666666666,-7.066861
3028,61,-20.53378,50,0.0,0.01639344262295082,-7.066861
3078,62,-19.6777,50,0.0,0.016129032258064516,-7.066861
3128,63,-26.826182,50,0.0,0.015873015873015872,-7.066861
3178,64,-12.732621,50,0.0,0.015625,-7.066861
3228,65,-22.43758,50,0.0,0.015384615384615385,-7.066861
3278,66,-31.667927,50,0.0,0.015151515151515152,-7.066861
3328,67,-19.585976,50,0.0,0.014925373134328358,-7.066861
3378,68,-30.361095,50,0.0,0.014705882352941176,-7.066861
3428,69,-24.03979,50,0.0,0.014492753623188406,-7.066861
3478,70,-31.154143,50,0.0,0.014285714285714285,-7.066861
3528,71,-20.818895,50,0.0,0.014084507042253521,-7.066861
3578,72,-19.674968,50,0.0,0.013888888888888888,-7.066861
3628,73,-21.097938,50,0.0,0.0136986301369863,-7.066861
3678,74,-20.622311,50,0.0,0.013513513513513514,-7.066861
3728,75,-23.429565,50,0.0,0.013333333333333334,-7.066861
3778,76,-20.338209,50,0.0,0.013157894736842105,-7.066861
3828,77,-11.222994,50,0.0,0.012987012987012988,-7.066861
3878,78,-26.328255,50,0.0,0.01282051282051282,-7.066861
3928,79,-38.246662,50,0.0,0.012658227848101266,-7.066861
3978,80,-21.578222,50,0.0,0.0125,-7.066861
4028,81,-19.872304,50,0.0,0.012345679012345678,-7.066861
4078,82,-24.448001,50,0.0,0.012195121951219513,-7.066861
4128,83,-16.378433,50,0.0,0.012048192771084338,-7.066861
4178,84,-20.619695,50,0.0,0.011904761904761904,-7.066861
4228,85,-21.385167,50,0.0,0.011764705882352941,-7.066861
4278,86,-18.866943,50,0.0,0.011627906976744186,-7.066861
