Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
50,1,-17.336031,50,0.0,0.0,-17.336031
100,2,-27.853873,50,0.0,0.0,-17.336031
150,3,-17.67506,50,0.0,0.0,-17.336031
200,4,-25.508962,50,0.0,0.0,-17.336031
250,5,-26.583436,50,0.0,0.0,-17.336031
300,6,-27.478983,50,0.0,0.0,-17.336031
350,7,-11.37273,50,0.0,0.0,-11.37273
400,8,-23.973522,50,0.0,0.0,-11.37273
450,9,-29.300351,50,0.0,0.0,-11.37273
500,10,-18.590925,50,0.0,0.0,-11.37273
550,11,-18.538605,50,0.0,0.0,-11.37273
600,12,-20.647769,50,0.0,0.0,-11.37273
650,13,-27.985272,50,0.0,0.0,-11.37273
700,14,-20.081181,50,0.0,0.0,-11.37273
750,15,-33.422987,50,0.0,0.0,-11.37273
800,16,-21.456182,50,0.0,0.0,-11.37273
850,17,-28.655878,50,0.0,0.0,-11.37273
900,18,-23.219612,50,0.0,0.0,-11.37273
950,19,-18.33257,50,0.0,0.0,-11.37273
1000,20,-21.937879,50,0.0,0.0,-11.37273
1050,21,-29.605601,50,0.0,0.0,-11.37273
1100,22,-13.421868,50,0.0,0.0,-11.37273
1150,23,-12.487968,50,0.0,0.0,-11.37273
1200,24,-10.51946,50,0.0,0.0,-10.51946
1250,25,-19.194575,50,0.0,0.0,-10.51946
1300,26,-29.936888,50,0.0,0.0,-10.51946
1350,27,-15.699451,50,0.0,0.0,-10.51946
1400,28,-16.727706,50,0.0,0.0,-10.51946
1450,29,-27.518468,50,0.0,0.0,-10.51946
1500,30,-13.777793,50,0.0,0.0,-10.51946
1550,31,-24.947594,50,0.0,0.0,-10.51946
1600,32,-30.604863,50,0.0,0.0,-10.51946
1650,33,-13.231884,50,0.0,0.0,-10.51946
1700,34,-14.300007,50,0.0,0.0,-10.51946
1750,35,-20.624735,50,0.0,0.0,-10.51946
1800,36,-34.286586,50,0.0,0.0,-10.51946
1850,37,-26.804053,50,0.0,0.0,-10.51946
1900,38,-22.740289,50,0.0,0.0,-10.51946
1950,39,-19.176561,50,0.0,0.0,-10.51946
2000,40,-19.459825,50,0.0,0.0,-10.51946
2050,41,-23.126825,50,0.0,0.0,-10.51946
2100,42,-14.857293,50,0.0,0.0,-10.51946
2150,43,-10.479854,50,0.0,0.0,-10.479854
2200,44,-15.362018,50,0.0,0.0,-10.479854
2250,45,-12.145843,50,0.0,0.0,-10.479854
2300,46,-12.172986,50,0.0,0.0,-10.479854
2350,47,-16.702528,50,0.0,0.0,-10.479854
2400,48,-14.782303,50,0.0,0.0,-10.479854
2450,49,-13.579249,50,0.0,0.0,-10.479854
2500,50,-12.56507,50,0.0,0.0,-10.479854
2550,51,-18.227729,50,0.0,0.0,-10.479854
2600,52,-30.41705,50,0.0,0.0,-10.479854
