Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
50,1,-12.231778,50,0.0,0.0,-12.231778
100,2,-22.936008,50,0.0,0.0,-12.231778
150,3,-15.102107,50,0.0,0.0,-12.231778
200,4,-20.839558,50,0.0,0.0,-12.231778
250,5,-26.794195,50,0.0,0.0,-12.231778
300,6,-22.52785,50,0.0,0.0,-12.231778
350,7,-29.115581,50,0.0,0.0,-12.231778
400,8,-13.832274,50,0.0,0.0,-12.231778
450,9,-68.750975,50,0.0,0.0,-12.231778
500,10,-25.189509,50,0.0,0.0,-12.231778
550,11,-17.995137,50,0.0,0.0,-12.231778
600,12,-30.303127,50,0.0,0.0,-12.231778
650,13,-12.539418,50,0.0,0.0,-12.231778
700,14,-25.35187,50,0.0,0.0,-12.231778
750,15,-13.783755,50,0.0,0.0,-12.231778
800,16,-26.563342,50,0.0,0.0,-12.231778
850,17,-24.087929,50,0.0,0.0,-12.231778
900,18,-15.346162,50,0.0,0.0,-12.231778
950,19,-7.946207,50,0.0,0.0,-7.946207
1000,20,-21.745377,50,0.0,0.0,-7.946207
1050,21,-25.472548,50,0.0,0.0,-7.946207
1100,22,-31.120996,50,0.0,0.0,-7.946207
1150,23,-31.44083,50,0.0,0.0,-7.946207
1200,24,-8.111607,50,0.0,0.0,-7.946207
1250,25,-26.324402,50,0.0,0.0,-7.946207
1300,26,-18.154882,50,0.0,0.0,-7.946207
1350,27,-29.579969,50,0.0,0.0,-7.946207
1400,28,-20.086646,50,0.0,0.0,-7.946207
1450,29,-21.716224,50,0.0,0.0,-7.946207
1500,30,-15.472705,50,0.0,0.0,-7.946207
1550,31,-24.46704,50,0.0,0.0,-7.946207
1600,32,-22.49766,50,0.0,0.0,-7.946207
1650,33,-16.095438,50,0.0,0.0,-7.946207
1700,34,-21.576219,50,0.0,0.0,-7.946207
1750,35,-10.337976,50,0.0,0.0,-7.946207
1800,36,-14.602284,50,0.0,0.0,-7.946207
1850,37,-13.393515,50,0.0,0.0,-7.946207
1900,38,-27.396695,50,0.0,0.0,-7.946207
1950,39,-27.960635,50,0.0,0.0,-7.946207
2000,40,-11.777516,50,0.0,0.0,-7.946207
2050,41,-24.992949,50,0.0,0.0,-7.946207
2100,42,-22.584928,50,0.0,0.0,-7.946207
2150,43,-18.536698,50,0.0,0.0,-7.946207
2200,44,-25.489105,50,0.0,0.0,-7.946207
2250,45,-20.408549,50,0.0,0.0,-7.946207
2300,46,-16.657327,50,0.0,0.0,-7.946207
2350,47,-19.345533,50,0.0,0.0,-7.946207
2400,48,-28.489616,50,0.0,0.0,-7.946207
2450,49,-19.675239,50,0.0,0.0,-7.946207
2500,50,-16.146932,50,0.0,0.0,-7.946207
2550,51,-18.865245,50,0.0,0.0,-7.946207
2600,52,-31.533592,50,0.0,0.0,-7.946207
2650,53,-26.48873,50,0.0,0.0,-7.946207
2700,54,-24.70143,50,0.0,0.0,-7.946207
2750,55,-22.937922,50,0.0,0.0,-7.946207
2800,56,-28.578983,50,0.0,0.0,-7.946207
2850,57,-26.893891,50,0.0,0.0,-7.946207
2900,58,-29.384352,50,0.0,0.0,-7.946207
2950,59,-25.400259,50,0.0,0.0,-7.946207
3000,60,-24.223902,50,0.0,0.0,-7.946207
3050,61,-24.21003,50,0.0,0.0,-7.946207
3100,62,-19.965586,50,0.0,0.0,-7.946207
3150,63,-32.678085,50,0.0,0.0,-7.946207
3200,64,-26.973612,50,0.0,0.0,-7.946207
3250,65,-26.269798,50,0.0,0.0,-7.946207
3300,66,-32.048495,50,0.0,0.0,-7.946207
3350,67,-32.287902,50,0.0,0.0,-7.946207
3400,68,-16.401046,50,0.0,0.0,-7.946207
3450,69,-21.906793,50,0.0,0.0,-7.946207
3500,70,-32.70626,50,0.0,0.0,-7.946207
3550,71,-16.264477,50,0.0,0.0,-7.946207
3600,72,-18.1465,50,0.0,0.0,-7.946207
3650,73,-11.244597,50,0.0,0.0,-7.946207
3700,74,-17.188783,50,0.0,0.0,-7.946207
3750,75,-25.938388,50,0.0,0.0,-7.946207
3800,76,-23.910385,50,0.0,0.0,-7.946207
3850,77,-20.225276,50,0.0,0.0,-7.946207
3900,78,-18.021578,50,0.0,0.0,-7.946207
3950,79,-28.768106,50,0.0,0.0,-7.946207
4000,80,-12.938921,50,0.0,0.0,-7.946207
4050,81,-33.780043,50,0.0,0.0,-7.946207
4100,82,-28.944313,50,0.0,0.0,-7.946207
4150,83,-32.006278,50,0.0,0.0,-7.946207
4200,84,-27.83541,50,0.0,0.0,-7.946207
4250,85,-17.85662,50,0.0,0.0,-7.946207
4300,86,-15.696177,50,0.0,0.0,-7.946207
4350,87,-21.142978,50,0.0,0.0,-7.946207
4400,88,-14.357087,50,0.0,0.0,-7.946207
4450,89,-13.261486,50,0.0,0.0,-7.946207
4500,90,-20.046615,50,0.0,0.0,-7.946207
4550,91,-25.816569,50,0.0,0.0,-7.946207
4600,92,-13.402741,50,0.0,0.0,-7.946207
4650,93,-16.572613,50,0.0,0.0,-7.946207
4700,94,-33.076511,50,0.0,0.0,-7.946207
4750,95,-20.989114,50,0.0,0.0,-7.946207
4800,96,-9.102943,50,0.0,0.0,-7.946207
4850,97,-26.916741,50,0.0,0.0,-7.946207
4900,98,-21.570312,50,0.0,0.0,-7.946207
4950,99,-39.128921,50,0.0,0.0,-7.946207
5000,100,-22.9733,50,0.0,0.0,-7.946207
5050,101,-22.666449,50,0.0,0.0,-7.946207
5100,102,-28.617971,50,0.0,0.0,-7.946207
5150,103,-25.759128,50,0.0,0.0,-7.946207
5200,104,-28.77497,50,0.0,0.0,-7.946207
5250,105,-23.392024,50,0.0,0.0,-7.946207
5300,106,-15.310289,50,0.0,0.0,-7.946207
5350,107,-35.865635,50,0.0,0.0,-7.946207
5400,108,-25.704041,50,0.0,0.0,-7.946207
5450,109,-23.571607,50,0.0,0.0,-7.946207
5500,110,-27.784915,50,0.0,0.0,-7.946207
5550,111,-24.784758,50,0.0,0.0,-7.946207
5600,112,-23.724741,50,0.0,0.0,-7.946207
5650,113,-22.10117,50,0.0,0.0,-7.946207
5700,114,-11.936764,50,0.0,0.0,-7.946207
5750,115,-21.333419,50,0.0,0.0,-7.946207
5800,116,-18.951745,50,0.0,0.0,-7.946207
5850,117,-21.233071,50,0.0,0.0,-7.946207
5900,118,-12.759621,50,0.0,0.0,-7.946207
5950,119,-28.23805,50,0.0,0.0,-7.946207
6000,120,-23.566825,50,0.0,0.0,-7.946207
6050,121,-40.297599,50,0.0,0.0,-7.946207
6100,122,-27.343526,50,0.0,0.0,-7.946207
6150,123,-7.798144,50,0.0,0.0,-7.798144
6200,124,-24.026477,50,0.0,0.0,-7.798144
6250,125,-24.253983,50,0.0,0.0,-7.798144
6300,126,-22.62062,50,0.0,0.0,-7.798144
6350,127,-11.110858,50,0.0,0.0,-7.798144
6400,128,-24.524321,50,0.0,0.0,-7.798144
6450,129,-26.562553,50,0.0,0.0,-7.798144
6500,130,-13.490726,50,0.0,0.0,-7.798144
6550,131,-21.987169,50,0.0,0.0,-7.798144
6600,132,-33.052504,50,0.0,0.0,-7.798144
6650,133,-32.622458,50,0.0,0.0,-7.798144
6700,134,-21.307449,50,0.0,0.0,-7.798144
6750,135,-24.580378,50,0.0,0.0,-7.798144
6800,136,-23.202225,50,0.0,0.0,-7.798144
6850,137,-33.081479,50,0.0,0.0,-7.798144
6900,138,-17.494422,50,0.0,0.0,-7.798144
6950,139,-16.320944,50,0.0,0.0,-7.798144
7000,140,-11.971193,50,0.0,0.0,-7.798144
7050,141,-8.3916,50,0.0,0.0,-7.798144
7100,142,-21.449731,50,0.0,0.0,-7.798144
7150,143,-25.597316,50,0.0,0.0,-7.798144
7200,144,-11.416401,50,0.0,0.0,-7.798144
7250,145,-24.750093,50,0.0,0.0,-7.798144
7300,146,-22.484889,50,0.0,0.0,-7.798144
7350,147,-14.252687,50,0.0,0.0,-7.798144
7400,148,-23.193945,50,0.0,0.0,-7.798144
7450,149,-11.849598,50,0.0,0.0,-7.798144
7500,150,-26.972263,50,0.0,0.0,-7.798144
7550,151,-27.552801,50,0.0,0.0,-7.798144
7600,152,-20.15076,50,0.0,0.0,-7.798144
7650,153,-27.079063,50,0.0,0.0,-7.798144
7700,154,-18.436179,50,0.0,0.0,-7.798144
7750,155,-16.500035,50,0.0,0.0,-7.798144
7800,156,-12.434244,50,0.0,0.0,-7.798144
7850,157,-33.482263,50,0.0,0.0,-7.798144
7900,158,-18.754432,50,0.0,0.0,-7.798144
7950,159,-17.322546,50,0.0,0.0,-7.798144
8000,160,-22.526882,50,0.0,0.0,-7.798144
8050,161,-17.635141,50,0.0,0.0,-7.798144
8100,162,-15.374512,50,0.0,0.0,-7.798144
8150,163,-21.061447,50,0.0,0.0,-7.798144
8200,164,-22.706407,50,0.0,0.0,-7.798144
8250,165,-16.070385,50,0.0,0.0,-7.798144
8300,166,-27.759159,50,0.0,0.0,-7.798144
8350,167,-23.503751,50,0.0,0.0,-7.798144
8400,168,-24.025761,50,0.0,0.0,-7.798144
8450,169,-12.083268,50,0.0,0.0,-7.798144
8500,170,-24.081432,50,0.0,0.0,-7.798144
8550,171,-23.192132,50,0.0,0.0,-7.798144
8600,172,-17.770787,50,0.0,0.0,-7.798144
8650,173,-14.001399,50,0.0,0.0,-7.798144
8700,174,-20.748693,50,0.0,0.0,-7.798144
8750,175,-28.675491,50,0.0,0.0,-7.798144
8800,176,-17.976612,50,0.0,0.0,-7.798144
8850,177,-20.473477,50,0.0,0.0,-7.798144
8900,178,-13.376031,50,0.0,0.0,-7.798144
8950,179,-22.544908,50,0.0,0.0,-7.798144
9000,180,-11.096187,50,0.0,0.0,-7.798144
9050,181,-21.982177,50,0.0,0.0,-7.798144
9100,182,-16.58021,50,0.0,0.0,-7.798144
9150,183,-24.900687,50,0.0,0.0,-7.798144
9200,184,-24.352758,50,0.0,0.0,-7.798144
9250,185,-20.521985,50,0.0,0.0,-7.798144
9300,186,-17.897093,50,0.0,0.0,-7.798144
9350,187,-23.027838,50,0.0,0.0,-7.798144
9400,188,-24.228724,50,0.0,0.0,-7.798144
