Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
50,1,-24.469345,50,0.0,0.0,-24.469345
100,2,-23.080752,50,0.0,0.0,-23.080752
150,3,-22.216945,50,0.0,0.0,-22.216945
200,4,-31.971367,50,0.0,0.0,-22.216945
250,5,-27.10847,50,0.0,0.0,-22.216945
300,6,-18.583298,50,0.0,0.0,-18.583298
350,7,-24.485766,50,0.0,0.0,-18.583298
400,8,-15.560377,50,0.0,0.0,-15.560377
450,9,-16.218235,50,0.0,0.0,-15.560377
500,10,-16.299047,50,0.0,0.0,-15.560377
550,11,-15.615582,50,0.0,0.0,-15.560377
600,12,-23.395656,50,0.0,0.0,-15.560377
650,13,-31.710072,50,0.0,0.0,-15.560377
700,14,-16.68265,50,0.0,0.0,-15.560377
750,15,-8.150381,50,0.0,0.0,-8.150381
800,16,-24.125498,50,0.0,0.0,-8.150381
850,17,-31.350743,50,0.0,0.0,-8.150381
900,18,-32.98804,50,0.0,0.0,-8.150381
950,19,-25.208546,50,0.0,0.0,-8.150381
1000,20,-22.366069,50,0.0,0.0,-8.150381
1050,21,-29.063706,50,0.0,0.0,-8.150381
1100,22,-11.861739,50,0.0,0.0,-8.150381
1150,23,-10.273764,50,0.0,0.0,-8.150381
1200,24,-29.840978,50,0.0,0.0,-8.150381
1250,25,-23.19281,50,0.0,0.0,-8.150381
1300,26,-25.365952,50,0.0,0.0,-8.150381
1350,27,-16.946246,50,0.0,0.0,-8.150381
1400,28,-23.310568,50,0.0,0.0,-8.150381
1450,29,-8.128896,50,0.0,0.0,-8.128896
1500,30,-20.231126,50,0.0,0.0,-8.128896
1550,31,-18.885868,50,0.0,0.0,-8.128896
1600,32,-23.244838,50,0.0,0.0,-8.128896
1650,33,-30.543022,50,0.0,0.0,-8.128896
1700,34,-26.887818,50,0.0,0.0,-8.128896
1750,35,-27.867216,50,0.0,0.0,-8.128896
1800,36,-27.567113,50,0.0,0.0,-8.128896
1850,37,-18.53486,50,0.0,0.0,-8.128896
1900,38,-12.697514,50,0.0,0.0,-8.128896
1950,39,-15.397304,50,0.0,0.0,-8.128896
2000,40,-26.465831,50,0.0,0.0,-8.128896
2050,41,-18.361917,50,0.0,0.0,-8.128896
2100,42,-10.566186,50,0.0,0.0,-8.128896
2150,43,-22.656455,50,0.0,0.0,-8.128896
2200,44,-20.81931,50,0.0,0.0,-8.128896
2250,45,-33.759436,50,0.0,0.0,-8.128896
