Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
50,1,-24.733005,50,0.0,0.0,-24.733005
100,2,-18.451438,50,0.0,0.0,-18.451438
150,3,-14.083071,50,0.0,0.0,-14.083071
200,4,-12.787018,50,0.0,0.0,-12.787018
250,5,-21.062564,50,0.0,0.0,-12.787018
300,6,-20.679113,50,0.0,0.0,-12.787018
350,7,-14.626472,50,0.0,0.0,-12.787018
400,8,-17.353034,50,0.0,0.0,-12.787018
450,9,-29.314834,50,0.0,0.0,-12.787018
500,10,-20.78013,50,0.0,0.0,-12.787018
550,11,-10.039251,50,0.0,0.0,-10.039251
600,12,-28.395875,50,0.0,0.0,-10.039251
650,13,-7.361982,50,0.0,0.0,-7.361982
700,14,-24.100751,50,0.0,0.0,-7.361982
750,15,-16.558083,50,0.0,0.0,-7.361982
800,16,-22.477029,50,0.0,0.0,-7.361982
850,17,-19.239708,50,0.0,0.0,-7.361982
900,18,-19.47384,50,0.0,0.0,-7.361982
950,19,-14.124251,50,0.0,0.0,-7.361982
1000,20,-30.91621,50,0.0,0.0,-7.361982
1050,21,-13.071165,50,0.0,0.0,-7.361982
1100,22,-17.955201,50,0.0,0.0,-7.361982
1150,23,-22.251513,50,0.0,0.0,-7.361982
1200,24,-20.903408,50,0.0,0.0,-7.361982
1250,25,-12.07405,50,0.0,0.0,-7.361982
1300,26,-23.402252,50,0.0,0.0,-7.361982
1350,27,-9.875847,50,0.0,0.0,-7.361982
1400,28,-27.82793,50,0.0,0.0,-7.361982
1450,29,-33.520169,50,0.0,0.0,-7.361982
1500,30,-20.188358,50,0.0,0.0,-7.361982
1550,31,-17.421621,50,0.0,0.0,-7.361982
1600,32,-12.687223,50,0.0,0.0,-7.361982
1650,33,-18.433954,50,0.0,0.0,-7.361982
1700,34,-20.041287,50,0.0,0.0,-7.361982
1750,35,-21.41177,50,0.0,0.0,-7.361982
1800,36,-15.612732,50,0.0,0.0,-7.361982
1850,37,-8.075071,50,0.0,0.0,-7.361982
1900,38,-24.341171,50,0.0,0.0,-7.361982
1950,39,-14.944607,50,0.0,0.0,-7.361982
2000,40,-11.915977,50,0.0,0.0,-7.361982
2050,41,-20.435034,50,0.0,0.0,-7.361982
2100,42,-23.046962,50,0.0,0.0,-7.361982
2150,43,-20.693652,50,0.0,0.0,-7.361982
2200,44,-21.151564,50,0.0,0.0,-7.361982
2250,45,-22.859901,50,0.0,0.0,-7.361982
2300,46,-21.235512,50,0.0,0.0,-7.361982
2350,47,-24.241131,50,0.0,0.0,-7.361982
2400,48,-22.119279,50,0.0,0.0,-7.361982
2450,49,-14.714328,50,0.0,0.0,-7.361982
2500,50,-10.52659,50,0.0,0.0,-7.361982
2550,51,-22.995619,50,0.0,0.0,-7.361982
2600,52,-13.035408,50,0.0,0.0,-7.361982
2650,53,-18.640504,50,0.0,0.0,-7.361982
2700,54,-21.694424,50,0.0,0.0,-7.361982
2750,55,-20.564849,50,0.0,0.0,-7.361982
2800,56,-31.245642,50,0.0,0.0,-7.361982
2850,57,-56.982854,50,0.0,0.0,-7.361982
2900,58,-26.623987,50,0.0,0.0,-7.361982
2950,59,-23.264188,50,0.0,0.0,-7.361982
