Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
50,1,-29.232491,50,0.0,0.0,-29.232491
100,2,-13.870323,50,0.0,0.0,-13.870323
150,3,-25.028401,50,0.0,0.0,-13.870323
200,4,-27.166588,50,0.0,0.0,-13.870323
250,5,-15.644957,50,0.0,0.0,-13.870323
300,6,-23.393907,50,0.0,0.0,-13.870323
350,7,-30.054408,50,0.0,0.0,-13.870323
400,8,-21.107949,50,0.0,0.0,-13.870323
450,9,-23.341656,50,0.0,0.0,-13.870323
500,10,-37.612011,50,0.0,0.0,-13.870323
550,11,-23.36692,50,0.0,0.0,-13.870323
600,12,-14.053538,50,0.0,0.0,-13.870323
650,13,-32.266455,50,0.0,0.0,-13.870323
700,14,-34.181641,50,0.0,0.0,-13.870323
750,15,-21.383197,50,0.0,0.0,-13.870323
800,16,-23.731283,50,0.0,0.0,-13.870323
850,17,-23.753107,50,0.0,0.0,-13.870323
900,18,-23.512552,50,0.0,0.0,-13.870323
950,19,-16.527176,50,0.0,0.0,-13.870323
1000,20,-27.305457,50,0.0,0.0,-13.870323
1050,21,-11.747811,50,0.0,0.0,-11.747811
1100,22,-21.013615,50,0.0,0.0,-11.747811
1150,23,-23.242633,50,0.0,0.0,-11.747811
1200,24,-34.066925,50,0.0,0.0,-11.747811
1250,25,-12.724386,50,0.0,0.0,-11.747811
1300,26,-46.34525,50,0.0,0.0,-11.747811
1350,27,-20.706499,50,0.0,0.0,-11.747811
1400,28,-17.351131,50,0.0,0.0,-11.747811
1450,29,-12.830975,50,0.0,0.0,-11.747811
1500,30,-24.496278,50,0.0,0.0,-11.747811
1550,31,-24.605794,50,0.0,0.0,-11.747811
1600,32,-21.822841,50,0.0,0.0,-11.747811
1650,33,-10.974337,50,0.0,0.0,-10.974337
1700,34,-63.338841,50,0.0,0.0,-10.974337
1750,35,-22.250164,50,0.0,0.0,-10.974337
1800,36,-21.685351,50,0.0,0.0,-10.974337
1850,37,-19.070385,50,0.0,0.0,-10.974337
1900,38,-30.813475,50,0.0,0.0,-10.974337
1950,39,-14.365751,50,0.0,0.0,-10.974337
2000,40,-43.455745,50,0.0,0.0,-10.974337
2050,41,-18.926061,50,0.0,0.0,-10.974337
2100,42,-19.087169,50,0.0,0.0,-10.974337
2150,43,-28.031908,50,0.0,0.0,-10.974337
2200,44,-26.069856,50,0.0,0.0,-10.974337
2250,45,-47.386421,50,0.0,0.0,-10.974337
2300,46,-20.499765,50,0.0,0.0,-10.974337
2350,47,-24.735426,50,0.0,0.0,-10.974337
2400,48,-20.548565,50,0.0,0.0,-10.974337
2450,49,-18.154741,50,0.0,0.0,-10.974337
2500,50,-16.185949,50,0.0,0.0,-10.974337
