Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
200,1,-27.522971,50,0.0,0.0,-27.522971
400,2,-16.844785,50,0.0,0.0,-16.844785
600,3,-87.552624,50,0.0,0.0,-16.844785
800,4,-26.126655,50,0.0,0.0,-16.844785
1000,5,-31.748349,50,0.0,0.0,-16.844785
1200,6,-14.310146,50,0.0,0.0,-14.310146
1400,7,-30.307941,50,0.0,0.0,-14.310146
1600,8,-18.298165,50,0.0,0.0,-14.310146
1800,9,-25.089513,50,0.0,0.0,-14.310146
2000,10,-18.868307,50,0.0,0.0,-14.310146
2200,11,-32.424833,50,0.0,0.0,-14.310146
2400,12,-23.31268,50,0.0,0.0,-14.310146
2600,13,-15.726863,50,0.0,0.0,-14.310146
2800,14,-17.608108,50,0.0,0.0,-14.310146
3000,15,-23.263754,50,0.0,0.0,-14.310146
3200,16,-32.384878,50,0.0,0.0,-14.310146
3400,17,-24.096728,50,0.0,0.0,-14.310146
3600,18,-11.47191,50,0.0,0.0,-11.47191
3800,19,-18.009543,50,0.0,0.0,-11.47191
4000,20,-23.85425,50,0.0,0.0,-11.47191
4200,21,-13.324539,50,0.0,0.0,-11.47191
4400,22,-28.036285,50,0.0,0.0,-11.47191
4600,23,-11.315334,50,0.0,0.0,-11.315334
4800,24,-19.509752,50,0.0,0.0,-11.315334
5000,25,-8.970603,50,0.0,0.0,-8.970603
5200,26,-35.964079,50,0.0,0.0,-8.970603
5400,27,-10.813353,50,0.0,0.0,-8.970603
5600,28,-40.466854,50,0.0,0.0,-8.970603
5800,29,-24.319609,50,0.0,0.0,-8.970603
6000,30,-22.665134,50,0.0,0.0,-8.970603
6200,31,-17.855303,50,0.0,0.0,-8.970603
6400,32,-13.593632,50,0.0,0.0,-8.970603
6600,33,-26.133657,50,0.0,0.0,-8.970603
6800,34,-22.557628,50,0.0,0.0,-8.970603
7000,35,-33.480269,50,0.0,0.0,-8.970603
7200,36,-17.576215,50,0.0,0.0,-8.970603
7400,37,-22.663106,50,0.0,0.0,-8.970603
7600,38,-22.79947,50,0.0,0.0,-8.970603
7800,39,-13.749892,50,0.0,0.0,-8.970603
8000,40,-21.279518,50,0.0,0.0,-8.970603
8200,41,-13.817184,50,0.0,0.0,-8.970603
8400,42,-25.22505,50,0.0,0.0,-8.970603
8600,43,-16.628221,50,0.0,0.0,-8.970603
8800,44,-25.958147,50,0.0,0.0,-8.970603
9000,45,-39.4003,50,0.0,0.0,-8.970603
9200,46,-20.5047,50,0.0,0.0,-8.970603
9400,47,-20.428858,50,0.0,0.0,-8.970603
9600,48,-24.51065,50,0.0,0.0,-8.970603
9800,49,-13.096462,50,0.0,0.0,-8.970603
10000,50,-10.28263,50,0.0,0.0,-8.970603
10200,51,-16.136257,50,0.0,0.0,-8.970603
10400,52,-8.567602,50,0.0,0.0,-8.567602
10600,53,-31.152005,50,0.0,0.0,-8.567602
10800,54,-18.468637,50,0.0,0.0,-8.567602
11000,55,-15.898386,50,0.0,0.0,-8.567602
11200,56,-24.943409,50,0.0,0.0,-8.567602
11400,57,-13.220938,50,0.0,0.0,-8.567602
11600,58,-22.758476,50,0.0,0.0,-8.567602
11800,59,-25.111184,50,0.0,0.0,-8.567602
12000,60,-23.630518,50,0.0,0.0,-8.567602
12200,61,-26.975632,50,0.0,0.0,-8.567602
12400,62,-13.588569,50,0.0,0.0,-8.567602
12600,63,-24.398683,50,0.0,0.0,-8.567602
12800,64,-20.200725,50,0.0,0.0,-8.567602
13000,65,-24.909331,50,0.0,0.0,-8.567602
13200,66,-22.011225,50,0.0,0.0,-8.567602
13400,67,-8.666364,50,0.0,0.0,-8.567602
13600,68,-27.030493,50,0.0,0.0,-8.567602
13800,69,-31.635455,50,0.0,0.0,-8.567602
14000,70,-18.928381,50,0.0,0.0,-8.567602
14200,71,-11.168513,50,0.0,0.0,-8.567602
14400,72,-47.016134,50,0.0,0.0,-8.567602
14600,73,-21.982324,50,0.0,0.0,-8.567602
14800,74,-20.379777,50,0.0,0.0,-8.567602
15000,75,-15.481077,50,0.0,0.0,-8.567602
