time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/std
180,500,10,50.0,-23.5761554,0.0,2,0.049787066876888275
188,959,20,47.95,-22.957325200000003,0.05000000074505806,5,0.049787066876888275
190,1459,30,48.63333333333333,-21.138905166666664,0.03333333507180214,7,0.049787066876888275
190,1959,40,48.975,-20.9859489,0.02500000037252903,10,0.049787066876888275
188,2459,50,49.18,-20.92148478,0.019999999552965164,13,0.049787066876888275
