rollout/success_rate,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,train/std,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
0.0,10,0,600,616,0.049787066876888275,,,,,,,,,
0.0,20,1,1000,614,0.049787066876888275,,,,,,,,,
0.0,30,2,1600,619,0.049787066876888275,,,,,,,,,
0.0,40,3,2000,622,0.049787066876888275,,,,,,,,,
0.0,50,4,2600,616,0.049787066876888275,,,,,,,,,
0.0,60,4,3000,618,0.049787066876888275,,,,,,,,,
0.0,70,5,3600,615,0.049787066876888275,,,,,,,,,
0.0,80,6,4000,611,0.049787066876888275,,,,,,,,,
0.0,90,7,4600,615,0.049787066876888275,,,,,,,,,
0.0,100,8,5000,614,0.049787066876888275,,,,,,,,,
0.0,110,9,5600,613,0.049787066876888275,,,,,,,,,
0.0,120,9,6000,613,0.049787066876888275,,,,,,,,,
0.0,130,11,6600,591,0.049787066876888275,,,,,,,,,
0.0,140,12,7000,578,0.049787066876888275,,,,,,,,,
0.0,150,13,7600,565,0.049787066876888275,,,,,,,,,
0.0,160,14,8000,558,0.049787066876888275,,,,,,,,,
0.0,170,15,8600,549,0.049787066876888275,,,,,,,,,
0.0,180,16,9000,543,0.049787066876888275,,,,,,,,,
0.0,190,17,9600,535,0.049787066876888275,,,,,,,,,
0.0,200,18,10000,531,0.049787066876888275,,,,,,,,,
0.0,210,21,10600,498,0.04984160512685776,1.0066789388656616,-0.0013390740496106446,6.281517744064331,0.0001,148,3.765004277229309,,,
0.0,220,22,11000,481,0.049870818853378296,1.0003174543380737,0.0005466043803608045,4.025860369205475,0.0001,248,1.2487314492464066,,,
0.0,230,25,11600,456,0.049910590052604675,0.9819380640983582,-0.07322173099964857,0.9484662711620331,0.0001,396,1.6658424772322178,,,
0.0,240,27,12000,444,0.049935221672058105,0.9689161479473114,-0.11433864384889603,0.4769638739526272,0.0001,496,0.3000295013189316,,,
0.0,250,29,12600,429,0.0499638132750988,0.9493854343891144,-0.2591076232492924,-2.4962884187698364,0.0001,648,2.3621981143951416,,,
0.0,260,30,13000,422,0.04997743293642998,0.9371898919343948,-0.29603370279073715,-3.224791944026947,0.0001,748,0.7218191400170326,,,
0.009999999776482582,270,33,13600,410,0.04999108240008354,0.9203443080186844,-0.37574705481529236,-4.586367130279541,0.0001,896,1.5192045867443085,,,
0.009999999776482582,280,34,14000,404,0.04999496787786484,0.9096419513225555,-0.45039671659469604,-5.766321897506714,0.0001,996,0.4097304940223694,,,
0.009999999776482582,290,36,14600,395,0.05000849813222885,0.8939655423164368,-0.5541470497846603,-7.631427049636841,0.0001,1148,0.38017138838768005,,,
0.009999999776482582,300,38,15000,389,0.05001065880060196,0.883994847536087,-0.5910295248031616,-8.748613357543945,0.0001,1248,0.4531227797269821,,,
0.009999999776482582,310,40,15600,382,0.05001978203654289,0.8697670251131058,-0.6781224459409714,-10.269073009490967,0.0001,1396,1.044864609837532,,,
0.009999999776482582,320,42,16000,378,0.05002209544181824,0.8604758530855179,-0.7489543259143829,-11.505664110183716,0.0001,1496,0.6374240443110466,,,
0.009999999776482582,330,44,16600,372,0.05002119392156601,0.8466623276472092,-0.79969622194767,-13.014926195144653,0.0001,1648,0.8753620237112045,,,
0.009999999776482582,340,46,17000,368,0.050021469593048096,0.8376946449279785,-0.874268963932991,-14.082273006439209,0.0001,1748,0.6947644725441933,,,
0.009999999776482582,350,48,17600,363,0.05002819001674652,0.8247693032026291,-0.8854651153087616,-15.092615842819214,0.0001,1896,1.1886380314826965,,,
0.009999999776482582,360,49,18000,360,0.05002676695585251,0.8162741661071777,-1.0325542092323303,-16.26854372024536,0.0001,1996,0.8641820698976517,,,
0.0,370,52,18600,355,0.05002502724528313,0.8034711331129074,-1.0794236361980438,-17.949005126953125,0.0001,2148,0.9813425168395042,,,
0.0,380,53,19000,352,0.05003079026937485,0.7951653450727463,-1.0836384296417236,-18.190567016601562,0.0001,2248,1.674122005701065,,,
0.0,390,56,19600,348,0.05003070831298828,0.7831153273582458,-1.2597655653953552,-19.73919677734375,0.0001,2396,0.9666951447725296,,,
0.0,400,57,20000,346,0.05003374069929123,0.7751488536596298,-1.2771635055541992,-20.824247360229492,0.0001,2496,0.8573369532823563,,,
0.0,410,60,20600,342,0.05003631114959717,0.7630892693996429,-1.3153745532035828,-21.790844917297363,0.0001,2648,0.5889119431376457,,,
0.0,420,61,21000,340,0.050038985908031464,0.7552626132965088,-1.4858295619487762,-22.47094440460205,0.0001,2748,1.4803216457366943,,,
0.0,430,63,21600,338,0.05004885047674179,0.7439425736665726,-1.4384192824363708,-23.293758392333984,0.0001,2896,0.861491248011589,,,
0.0,440,65,22000,336,0.05005018040537834,0.7363914847373962,-1.5283184945583344,-23.964378356933594,0.0001,2996,1.0611757934093475,,,
0.0,450,67,22600,333,0.05004549026489258,0.7251518964767456,-1.5550750494003296,-24.906567096710205,0.0001,3148,0.8309001848101616,,,
0.0,460,69,23000,331,0.050044022500514984,0.7178392559289932,-1.6624785661697388,-25.5479998588562,0.0001,3248,0.9622724242508411,,,
0.0,470,71,23600,329,0.05004734545946121,0.7071420401334763,-1.7792250216007233,-26.84914207458496,0.0001,3396,0.728747196495533,,,
0.0,480,73,24000,327,0.050047554075717926,0.6999851316213608,-1.6603245735168457,-26.25230884552002,0.0001,3496,0.5348786935210228,,,
0.0,490,75,24600,325,0.050054118037223816,0.6892722249031067,-1.755168378353119,-27.527650356292725,0.0001,3648,0.8375330120325089,,,
0.0,500,77,25000,324,0.05005587264895439,0.6823516637086868,-1.9482690691947937,-28.290361404418945,0.0001,3748,0.904539942741394,,,
0.0,510,79,25600,322,0.050060272216796875,0.6722789257764816,-1.887937605381012,-28.66423511505127,0.0001,3896,0.9607035145163536,,,
0.0,520,80,26000,322,0.050057850778102875,0.6654999554157257,-2.188901662826538,-29.33821201324463,0.0001,3996,0.28990669548511505,,,
0.0,530,83,26600,320,0.050063006579875946,0.6554169803857803,-2.271133005619049,-29.948390007019043,0.0001,4148,0.5457979217171669,,,
0.0,540,84,27000,319,0.05006943643093109,0.648850679397583,-2.249164879322052,-30.68762731552124,0.0001,4248,0.7496472001075745,,,
0.0,550,86,27600,318,0.05006728321313858,0.6392507702112198,-2.237831711769104,-30.72318458557129,0.0001,4396,0.4160168394446373,,,
0.0,560,88,28000,317,0.050067298114299774,0.6328390091657639,-2.2601844668388367,-30.90407371520996,0.0001,4496,0.47800594568252563,,,
0.0,570,90,28600,316,0.05006644129753113,0.623250350356102,-2.2687058448791504,-31.585035800933838,0.0001,4648,0.3465491719543934,,,
0.0,580,91,29000,315,0.05006803572177887,0.6170108616352081,-2.4062224626541138,-32.096914291381836,0.0001,4748,0.4147317036986351,,,
0.0,590,94,29600,314,0.05006828159093857,0.6079012602567673,-2.548498749732971,-32.21853065490723,0.0001,4896,0.4357059448957443,,,
0.0,600,95,30000,313,0.050066351890563965,0.6017825603485107,-2.353390693664551,-32.53765106201172,0.0001,4996,0.936742901802063,,,
0.0,610,97,30600,312,0.05007370933890343,0.5927593857049942,-2.5880048871040344,-32.926886558532715,0.0001,5148,0.2610005810856819,,,
0.0,620,99,31000,311,0.05007170885801315,0.5868615061044693,-2.7698193192481995,-33.30189037322998,0.0001,5248,0.21353745833039284,,,
0.0,630,101,31600,310,0.05007844790816307,0.5782216638326645,-2.681995213031769,-32.99483394622803,0.0001,5396,0.7494022622704506,,,
0.0,640,103,32000,309,0.05007871985435486,0.572457879781723,-2.737433671951294,-33.621694564819336,0.0001,5496,0.5803950056433678,,,
0.0,650,105,32600,308,0.050081513822078705,0.5638315379619598,-2.872645676136017,-34.145769119262695,0.0001,5648,0.5792018994688988,,,
0.0,660,107,33000,308,0.050082527101039886,0.5582178980112076,-2.8336099982261658,-34.27587413787842,0.0001,5748,1.0779124647378922,,,
0.0,670,109,33600,307,0.050084542483091354,0.550015851855278,-2.8482341170310974,-34.17279052734375,0.0001,5896,0.3460760675370693,,,
0.0,680,110,34000,307,0.050084035843610764,0.5445956885814667,-3.127147138118744,-34.471192359924316,0.0001,5996,0.45034250244498253,,,
0.0,690,112,34600,306,0.05009293556213379,0.5363629907369614,-3.0715490579605103,-34.54717826843262,0.0001,6148,0.2220248579978943,,,
0.0,700,114,35000,305,0.05009078606963158,0.5310277342796326,-3.134845197200775,-34.42092418670654,0.0001,6248,0.5882934182882309,,,
0.0,710,116,35600,304,0.05009099096059799,0.5232782959938049,-3.350243330001831,-34.75090312957764,0.0001,6396,0.7305652759969234,,,
0.0,720,118,36000,304,0.05009713023900986,0.5180729031562805,-3.303634285926819,-34.75277519226074,0.0001,6496,0.48718345910310745,,,
0.0,730,120,36600,303,0.050099343061447144,0.5102549195289612,-3.258947432041168,-34.69661331176758,0.0001,6648,0.27106664702296257,,,
0.0,740,122,37000,302,0.05010378360748291,0.505202978849411,-3.2500268816947937,-35.07611846923828,0.0001,6748,0.8633193969726562,,,
0.0,750,124,37600,302,0.05010563135147095,0.4978048950433731,-3.496098816394806,-35.03864765167236,0.0001,6896,0.34355589002370834,,,
0.0,760,125,38000,301,0.050099506974220276,0.49285248667001724,-3.830269932746887,-35.434343338012695,0.0001,6996,0.44044366478919983,,,
0.0,770,128,38600,301,0.050103724002838135,0.48542309552431107,-3.5036876797676086,-34.91801643371582,0.0001,7148,0.8148843869566917,,,
0.0,780,129,39000,300,0.05010352283716202,0.48063990473747253,-3.631970763206482,-34.88229465484619,0.0001,7248,0.4508048817515373,,,
0.0,790,132,39600,299,0.050103165209293365,0.4735589548945427,-4.13485312461853,-35.519020080566406,0.0001,7396,0.516622468829155,,,
0.0,800,133,40000,299,0.05010784789919853,0.46886561065912247,-3.6721686720848083,-34.95466995239258,0.0001,7496,0.4944083243608475,,,
0.0,810,135,40600,299,0.050107814371585846,0.46179328113794327,-3.6822956800460815,-34.884382247924805,0.0001,7648,0.4090743362903595,,,
0.0,820,137,41000,298,0.05011050030589104,0.4572247266769409,-3.7872554063796997,-34.946311950683594,0.0001,7748,0.3537639416754246,,,
0.0,830,139,41600,298,0.05011593550443649,0.45056744664907455,-3.953678786754608,-34.95578861236572,0.0001,7896,0.3606930673122406,,,
0.0,840,141,42000,297,0.05011693760752678,0.44608768075704575,-3.948031961917877,-34.90507221221924,0.0001,7996,0.32617824897170067,,,
0.0,850,143,42600,297,0.05011698603630066,0.43936512619256973,-4.031686842441559,-34.7177209854126,0.0001,8148,0.19992367923259735,,,
0.0,860,144,43000,297,0.050126563757658005,0.4349915459752083,-4.379611015319824,-35.13948154449463,0.0001,8248,0.47841889411211014,,,
0.0,870,146,43600,296,0.050126202404499054,0.4286084473133087,-4.069716811180115,-34.539676666259766,0.0001,8396,0.27333391085267067,,,
0.0,880,148,44000,296,0.05012698099017143,0.42436444014310837,-4.175937235355377,-34.47128868103027,0.0001,8496,0.668430745601654,,,
0.0,890,150,44600,295,0.05012286454439163,0.41798185557127,-4.589364528656006,-34.220396995544434,0.0001,8648,0.29774080216884613,,,
0.0,900,152,45000,295,0.05012790486216545,0.41381148248910904,-4.141328036785126,-34.14982891082764,0.0001,8748,0.465966135263443,,,
0.0,910,154,45600,295,0.05013163015246391,0.40778977423906326,-4.408344745635986,-34.29903602600098,0.0001,8896,0.2330022118985653,,,
0.0,920,156,46000,294,0.05012774094939232,0.40377243608236313,-4.611203908920288,-33.991193771362305,0.0001,8996,0.1787295825779438,,,
