rollout/success_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,train/std,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0,390,50.0,-21.59883421,19478,162,119,0.05011535435914993,9476,0.19186627119779587,0.0001,-4.857888460159302,-34.69896125793457,0.38502053916454315,,,
0.0,400,50.0,-20.63304272,19978,168,118,0.05012068152427673,9976,0.11032319813966751,0.0001,-5.018712759017944,-33.90593338012695,0.36629491299390793,,,
,,,,20000,,,,9996,0.19172592647373676,0.0001,-5.2516865730285645,-33.94680976867676,0.36556942015886307,-21.059580450000002,50.0,0.0
0.0,410,50.0,-20.09001981,20478,180,113,0.05012429878115654,10476,0.11912120878696442,0.0001,-5.3753721714019775,-33.30535125732422,0.34853554517030716,,,
0.0,420,50.0,-19.853844799999997,20978,185,112,0.050131481140851974,10976,0.14009924791753292,0.0001,-5.377546429634094,-32.02365970611572,0.33159691095352173,,,
0.0,430,50.0,-19.93986168,21478,191,111,0.05013933405280113,11476,0.10405220091342926,0.0001,-5.521981358528137,-31.192925930023193,0.3154478967189789,,,
0.0,440,50.0,-20.79110442,21978,197,111,0.050155989825725555,11976,0.11104856990277767,0.0001,-5.949753642082214,-30.311916828155518,0.3001098558306694,,,
0.0,450,50.0,-20.782939189999997,22478,203,110,0.05015547201037407,12476,0.26369581557810307,0.0001,-6.214988350868225,-29.40910291671753,0.2855149656534195,,,
0.0,460,50.0,-20.66519657,22978,209,109,0.050157539546489716,12976,0.10726972110569477,0.0001,-6.801956295967102,-28.469008922576904,0.27154427021741867,,,
0.0,470,50.0,-20.939002409999997,23478,214,109,0.050165869295597076,13476,0.08759044669568539,0.0001,-6.813391447067261,-27.574957847595215,0.25833381712436676,,,
0.0,480,50.0,-21.157972590000004,23978,220,108,0.05017424374818802,13976,0.13366861268877983,0.0001,-6.905566453933716,-26.33455228805542,0.24576344713568687,,,
0.0,490,50.0,-21.53336551,24478,226,108,0.05017262324690819,14476,0.4693154003471136,0.0001,-6.900248646736145,-25.2554988861084,0.23380720615386963,,,
0.0,500,50.0,-21.866652859999995,24978,232,107,0.050179727375507355,14976,0.08493306301534176,0.0001,-7.116980075836182,-24.272783756256104,0.22243593633174896,,,
0.0,510,50.0,-21.48519383,25478,238,106,0.05017820745706558,15476,0.11631578486412764,0.0001,-7.625556230545044,-23.438247203826904,0.21157250180840492,,,
0.0,520,50.0,-21.9343273,25978,244,106,0.05019082874059677,15976,0.061906986869871616,0.0001,-8.212383508682251,-22.50593662261963,0.20125146955251694,,,
